H,Time,dT
16047.337376758562,1958-02-10 17:15:02.411262,18902.41126163627
16065.173703536302,1958-02-10 17:17:55.120290,19075.1202902902
16070.987155101859,1958-02-10 17:21:36.966915,19296.966914868226
16067.790307678866,1958-02-10 17:25:42.701826,19542.70182628996
16065.395954295835,1958-02-10 17:29:02.115050,19742.115049863485
16049.172117733358,1958-02-10 17:31:07.610686,19867.61068644517
16032.76447885498,1958-02-10 17:32:58.213298,19978.213298092207
16020.097873542032,1958-02-10 17:36:27.066071,20187.066071293433
16009.71698131468,1958-02-10 17:37:58.263948,20278.263947510903
16027.073171430475,1958-02-10 17:39:38.134821,20378.134820602092
16028.766778484134,1958-02-10 17:44:53.516525,20693.51652510058
16026.108209271995,1958-02-10 17:48:43.482351,20923.482351297385
16023.479179717768,1958-02-10 17:54:49.456538,21289.456537559166
16030.57197980102,1958-02-10 17:58:42.707590,21522.7075898445
16036.757802980212,1958-02-10 18:02:16.904331,21736.90433081639
16029.210967414228,1958-02-10 18:05:07.298057,21907.298057274606
16033.411069144848,1958-02-10 18:08:43.903964,22123.90396404474
16036.442166265108,1958-02-10 18:12:42.082855,22362.082855462868
16037.036241607573,1958-02-10 18:16:43.218450,22603.218450360662
16035.839229025269,1958-02-10 18:20:28.387846,22828.38784646823
16025.895523735024,1958-02-10 18:22:17.194535,22937.194534520204
16023.886170560121,1958-02-10 18:26:03.349498,23163.349498454318
16023.397125112455,1958-02-10 18:30:05.799184,23405.799183787534
16025.615881640117,1958-02-10 18:34:04.963643,23644.96364303222
16030.81322034064,1958-02-10 18:38:00.514354,23880.514353579525
16033.302757065834,1958-02-10 18:41:59.350290,24119.350290215345
16035.880365734065,1958-02-10 18:45:48.002026,24348.00202597675
16028.80452360258,1958-02-10 18:50:08.520455,24608.520454796857
16024.524555389455,1958-02-10 18:54:15.569457,24855.569456654
16020.872031391626,1958-02-10 18:58:01.702519,25081.70251908086
16011.519994508757,1958-02-10 19:00:54.286396,25254.286396264753
16012.290213737295,1958-02-10 19:04:35.053589,25475.053589413696
16002.18108636274,1958-02-10 19:04:47.318433,25487.31843347753
16031.110258011873,1958-02-10 19:07:43.844582,25663.84458196765
16051.215605624073,1958-02-10 19:09:44.565690,25784.56568996734
16062.942193378558,1958-02-10 19:11:43.359465,25903.359465328438
16052.57836850911,1958-02-10 19:14:33.139950,26073.13994958346
16063.380693189349,1958-02-10 19:17:39.565579,26259.56557935367
15948.677107453079,1958-02-10 19:28:12.519139,26892.519139076325
15941.834847431384,1958-02-10 19:29:41.439259,26981.43925853909
15959.913118073933,1958-02-10 19:31:20.434071,27080.434071340005
16038.123629237181,1958-02-10 19:36:00.422940,27360.422940111443
16001.255510414809,1958-02-10 19:44:36.772875,27876.77287519867
16030.937396310013,1958-02-10 19:49:53.468670,28193.468670132574
16034.59156139995,1958-02-10 19:53:10.582235,28390.58223544412
16026.322645307213,1958-02-10 19:56:01.852022,28561.852022192605
16024.128395755004,1958-02-10 19:59:28.076615,28768.076614523005
16014.617938780812,1958-02-10 20:01:16.357666,28876.35766640081
16018.132501635577,1958-02-10 20:04:55.810769,29095.81076911434
16021.586297194062,1958-02-10 20:08:40.520234,29320.520233569518
16013.585269850862,1958-02-10 20:12:17.532883,29537.532882617266
16012.048973197674,1958-02-10 20:16:08.296549,29768.296549435592
16014.809290120402,1958-02-10 20:20:06.803963,30006.803963462564
16017.29445059998,1958-02-10 20:23:45.490513,30225.490513422097
16009.38657477062,1958-02-10 20:26:36.322270,30396.322270025456
16008.925318482621,1958-02-10 20:30:00.444318,30600.444317659196
16001.147854772638,1958-02-10 20:31:46.622825,30706.62282484034
16004.080376960383,1958-02-10 20:35:06.627389,30906.6273891098
15998.338742711285,1958-02-10 20:37:54.830965,31074.83096484233
16000.192082729953,1958-02-10 20:41:34.284068,31294.28406755585
16005.647072891157,1958-02-10 20:44:29.058095,31469.05809546544
16004.787140627479,1958-02-10 20:49:45.378436,31785.378435989212
16004.682110732678,1958-02-10 20:53:34.405626,32014.40562616072
16005.380559533101,1958-02-10 20:57:17.275364,32237.275364006324
15997.169847507066,1958-02-10 20:59:03.979507,32343.979507361633
16003.718086341116,1958-02-10 21:02:44.070883,32564.070882572367
16008.91448727472,1958-02-10 21:06:35.303867,32795.303867403316
16009.237782419652,1958-02-10 21:10:36.767985,33036.76798490997
16009.290297367053,1958-02-10 21:14:38.560625,33278.56062502547
16012.898824466987,1958-02-10 21:18:23.082362,33503.082362275585
16008.61135411852,1958-02-10 21:21:55.589558,33715.589558401945
16011.0593946576,1958-02-10 21:25:41.519250,33941.51924969
16013.165900485194,1958-02-10 21:29:22.680670,34162.68066996956
16001.922450246793,1958-02-10 21:31:13.064267,34273.064266544025
15996.551046376866,1958-02-10 21:34:43.143524,34483.14352415162
15989.004210810883,1958-02-10 21:37:33.537251,34653.53725060985
15993.365139567915,1958-02-10 21:39:39.251902,34779.2519022641
15992.561660872692,1958-02-10 21:44:30.454343,35070.45434275103
15997.838287766119,1958-02-10 21:50:21.654398,35421.6543979747
16000.360880775168,1958-02-10 21:53:54.537049,35634.53704851118
15994.526095012228,1958-02-10 21:57:28.921517,35848.92151668811
15992.564286620061,1958-02-10 22:01:20.201433,36080.201433320326
15984.271301176432,1958-02-10 22:02:20.649593,36140.64959334922
15993.393272575451,1958-02-10 22:05:34.008615,36334.00861455959
15992.664940269246,1958-02-10 22:09:03.637327,36543.637326875054
15986.56226575677,1958-02-10 22:11:52.278933,36712.27893275273
15989.498726565569,1958-02-10 22:15:30.417945,36930.41794503084
15994.696065266093,1958-02-10 22:19:25.968656,37165.96865557814
16000.976524756745,1958-02-10 22:23:20.205276,37400.20527569004
16001.783285636182,1958-02-10 22:27:02.943604,37622.943604492095
15994.0058219262,1958-02-10 22:28:49.122112,37729.12211167324
16000.282342795797,1958-02-10 22:32:25.224284,37945.22428377648
16010.082944854375,1958-02-10 22:36:15.190110,38175.19010997328
16040.733622122974,1958-02-10 22:39:39.859695,38379.85969528845
16044.898057451817,1958-02-10 22:43:18.524344,38598.52434374073
16035.370533119722,1958-02-10 22:43:48.222788,38628.222787581006
16034.357432259458,1958-02-10 22:49:11.927065,38951.9270648371
16027.180389448084,1958-02-10 22:52:42.181535,39162.18153450273
16014.940030458201,1958-02-10 22:55:38.269653,39338.26965284774
16022.028454295834,1958-02-10 22:59:11.371318,39551.37131845678
16034.536858329742,1958-02-10 23:02:58.051919,39778.051918565056
16051.919305919237,1958-02-10 23:06:38.819112,39998.819111713994
