Time,H,dT
1958-02-10 09:33:20,16030.378114812207,-8799.999999848269
1958-02-10 09:33:40,16030.409174766479,-8779.99999985057
1958-02-10 09:34:00,16030.347406218578,-8759.999999896041
1958-02-10 09:34:20,16030.285637670677,-8739.999999941512
1958-02-10 09:34:40,16030.223869122776,-8719.999999986981
1958-02-10 09:35:00,16030.162100574875,-8700.000000032453
1958-02-10 09:35:20,16030.100332026974,-8680.000000077924
1958-02-10 09:35:40,16030.038563479073,-8660.000000123395
1958-02-10 09:36:00,16029.97679493117,-8640.000000168866
1958-02-10 09:36:20,16029.915026383269,-8620.000000214337
1958-02-10 09:36:40,16029.853257835368,-8600.000000259808
1958-02-10 09:37:00,16029.791489287467,-8580.00000030528
1958-02-10 09:37:20,16029.729720739566,-8560.00000035075
1958-02-10 09:37:40,16029.399845425205,-8540.000000351898
1958-02-10 09:38:00,16028.87361580038,-8520.000000320586
1958-02-10 09:38:20,16028.347386175556,-8500.000000289272
1958-02-10 09:38:40,16027.82115655073,-8480.00000025796
1958-02-10 09:39:00,16027.294926925906,-8460.000000226648
1958-02-10 09:39:20,16026.76869730108,-8440.000000195334
1958-02-10 09:39:40,16026.242467676255,-8420.000000164022
1958-02-10 09:40:00,16025.716238051431,-8400.00000013271
1958-02-10 09:40:20,16025.190008426605,-8380.000000101396
1958-02-10 09:40:40,16024.663778801782,-8360.000000070084
1958-02-10 09:41:00,16024.137549176956,-8340.000000038772
1958-02-10 09:41:20,16025.205441870716,-8319.999999985075
1958-02-10 09:41:40,16028.943193176816,-8299.99999989389
1958-02-10 09:42:00,16032.680944482914,-8279.999999802703
1958-02-10 09:42:20,16032.166124809051,-8259.999999777592
1958-02-10 09:42:40,16031.627078782172,-8239.999999752856
1958-02-10 09:43:00,16031.088032755293,-8219.99999972812
1958-02-10 09:43:20,16030.548986728416,-8199.999999703385
1958-02-10 09:43:40,16030.009940701537,-8179.999999678648
