"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/05/13 00:03:40.000,n,-3984.7128,-600.97304
2024/05/13 00:03:45.000,n,-3985.3308,-600.95396
2024/05/13 00:03:50.000,n,-3984.7128,-600.99256
2024/05/13 00:03:55.002,n,-3984.7128,-600.89636
2024/05/13 00:04:00.018,n,-3985.5404,-600.95396
2024/05/13 00:04:05.000,n,-3984.0948,-600.95396
2024/05/13 00:04:10.000,n,-3984.514,-600.97304
2024/05/13 00:04:15.000,n,-3984.7128,-600.97304
2024/05/13 00:04:20.004,n,-3974.8592,-600.99256
2024/05/13 00:04:25.000,n,-3984.514,-600.95396
2024/05/13 00:04:30.004,n,-3985.1212,-600.99256
2024/05/13 00:04:35.000,n,-3983.6868,-600.93492
2024/05/13 00:04:40.000,n,-3984.7128,-600.97304
2024/05/13 00:04:45.000,n,-3984.9224,-600.93492
2024/05/13 00:04:50.000,n,-3984.9224,-600.95396
2024/05/13 00:04:55.003,n,-3985.1212,-600.97304
2024/05/13 00:05:00.000,n,-3984.514,-600.95396
2024/05/13 00:05:05.000,n,-3984.514,-600.95396
2024/05/13 00:05:10.000,n,-3984.9224,-601.0116
2024/05/13 00:05:15.000,n,-3983.8964,-600.9154
2024/05/13 00:05:20.003,n,-3984.7128,-600.9154
2024/05/13 00:05:25.000,n,-3984.7128,-600.95396
2024/05/13 00:05:30.000,n,-3983.8964,-601.0116
2024/05/13 00:05:35.000,n,-3985.1212,-600.9154
2024/05/13 00:05:40.000,n,-3984.9224,-600.95396
2024/05/13 00:05:45.102,n,-3984.3048,-600.95396
2024/05/13 00:05:50.012,n,-3982.4616,-600.99256
2024/05/13 00:05:55.000,n,-3984.7128,-600.97304
2024/05/13 00:06:00.000,n,-3981.8436,-600.9154
2024/05/13 00:06:05.000,n,-3985.5404,-600.95396
2024/05/13 00:06:10.002,n,-3985.7392,-600.99256
2024/05/13 00:06:15.000,n,-3985.9488,-600.95396
2024/05/13 00:06:20.000,n,-3984.9224,-601.03112
2024/05/13 00:06:25.000,n,-3985.1212,-600.95396
2024/05/13 00:06:30.058,n,-3984.9224,-600.95396
2024/05/13 00:06:35.002,n,-3985.3308,-600.95396
2024/05/13 00:06:40.000,n,-3985.3308,-600.9154
2024/05/13 00:06:45.004,n,-3984.514,-600.95396
2024/05/13 00:06:50.000,n,-3985.1212,-601.03112
2024/05/13 00:06:55.000,n,-3985.9488,-600.9154
2024/05/13 00:07:00.002,n,-3985.5404,-600.99256
2024/05/13 00:07:05.000,n,-3985.5404,-600.97304
2024/05/13 00:07:10.004,n,-3985.7392,-600.89636
2024/05/13 00:07:15.000,n,-3985.1212,-600.93492
2024/05/13 00:07:20.000,n,-3985.7392,-601.0116
2024/05/13 00:07:25.002,n,-3976.7076,-600.99256
2024/05/13 00:07:30.000,n,-3985.5404,-600.87684
2024/05/13 00:07:35.034,n,-3984.7128,-600.89636
2024/05/13 00:07:40.000,n,-3984.7128,-600.93492
2024/05/13 00:07:45.000,n,-3984.9224,-600.95396
2024/05/13 00:07:50.000,n,-3984.7128,-600.89636
2024/05/13 00:07:55.000,n,-3985.1212,-600.93492
2024/05/13 00:08:00.003,n,-3985.3308,-600.93492
2024/05/13 00:08:05.001,n,-3985.3308,-600.93492
2024/05/13 00:08:10.000,n,-3985.3308,-600.9154
2024/05/13 00:08:15.000,n,-3984.3048,-600.95396
2024/05/13 00:08:20.000,n,-3986.1528,-600.95396
2024/05/13 00:08:25.002,n,-3986.1528,-601.0116
2024/05/13 00:08:30.000,n,-3984.9224,-600.93492
2024/05/13 00:08:35.000,n,-3985.7392,-600.93492
2024/05/13 00:08:40.000,n,-3984.514,-600.87684
2024/05/13 00:08:45.000,n,-3975.4772,-600.9154
2024/05/13 00:08:50.003,n,-3985.1212,-600.9154
2024/05/13 00:08:55.000,n,-3985.3308,-600.9154
2024/05/13 00:09:00.005,n,-3985.3308,-600.89636
2024/05/13 00:09:05.000,n,-3985.7392,-600.89636
2024/05/13 00:09:10.043,n,-3976.0896,-600.87684
2024/05/13 00:09:15.002,n,-3984.3048,-600.95396
2024/05/13 00:09:20.000,n,-3985.9488,-600.93492
2024/05/13 00:09:25.004,n,-3985.7392,-600.9154
2024/05/13 00:09:30.009,n,-3985.1212,-601.05016
2024/05/13 00:09:35.000,n,-3985.9488,-600.95396
2024/05/13 00:09:40.001,n,-3976.9168,-600.99256
2024/05/13 00:09:45.015,n,-3985.1212,-600.97304
2024/05/13 00:09:50.004,n,-3984.9224,-600.8578
2024/05/13 00:09:55.000,n,-3985.9488,-600.9154
2024/05/13 00:10:00.013,n,-3985.3308,-600.95396
2024/05/13 00:10:05.000,n,-3985.3308,-600.9154
2024/05/13 00:10:10.000,n,-3984.7128,-600.99256
2024/05/13 00:10:15.014,n,-3985.3308,-600.93492
2024/05/13 00:10:20.000,n,-3986.3568,-600.95396
2024/05/13 00:10:25.000,n,-3985.5404,-600.93492
2024/05/13 00:10:30.031,n,-3985.5404,-600.9154
2024/05/13 00:10:35.017,n,-3984.9224,-600.87684
2024/05/13 00:10:40.003,n,-3984.0948,-600.89636
2024/05/13 00:10:45.114,n,-3976.5036,-600.97304
2024/05/13 00:10:50.018,n,-3984.9224,-600.97304
2024/05/13 00:10:55.082,n,-3984.514,-600.97304
2024/05/13 00:11:00.026,n,-3985.3308,-600.89636
2024/05/13 00:11:05.069,n,-3976.0896,-601.0116
2024/05/13 00:11:10.000,n,-3985.3308,-600.93492
2024/05/13 00:11:15.005,n,-3985.3308,-600.95396
2024/05/13 00:11:20.022,n,-3985.7392,-600.93492
2024/05/13 00:11:25.000,n,-3985.1212,-600.9154
2024/05/13 00:11:30.002,n,-3985.5404,-600.93492
2024/05/13 00:11:35.095,n,-3984.7128,-600.9154
2024/05/13 00:11:40.024,n,-3983.8964,-600.93492
2024/05/13 00:11:45.000,n,-3985.3308,-600.97304
2024/05/13 00:11:50.001,n,-3985.1212,-600.97304
2024/05/13 00:11:55.025,n,-3984.3048,-600.9154
2024/05/13 00:12:00.000,n,-3985.1212,-600.95396
2024/05/13 00:12:05.004,n,-3984.7128,-600.89636
2024/05/13 00:12:10.000,n,-3984.3048,-600.97304
2024/05/13 00:12:15.000,n,-3985.7392,-600.9154
2024/05/13 00:12:20.001,n,-3984.7128,-600.93492
2024/05/13 00:12:25.000,n,-3984.0948,-600.9154
2024/05/13 00:12:30.004,n,-3985.9488,-600.9154
2024/05/13 00:12:35.047,n,-3984.9224,-600.9154
2024/05/13 00:12:40.007,n,-3984.0948,-600.8578
2024/05/13 00:12:45.000,n,-3986.5612,-601.05016
2024/05/13 00:12:50.000,n,-3984.9224,-600.9154
2024/05/13 00:12:55.004,n,-3985.9488,-600.89636
2024/05/13 00:13:00.000,n,-3984.9224,-600.9154
2024/05/13 00:13:05.000,n,-3985.1212,-600.95396
2024/05/13 00:13:10.039,n,-3985.5404,-600.87684
2024/05/13 00:13:15.000,n,-3984.9224,-601.0116
2024/05/13 00:13:20.003,n,-3975.8856,-600.9154
2024/05/13 00:13:25.000,n,-3982.6608,-600.89636
2024/05/13 00:13:30.006,n,-3985.1212,-600.89636
2024/05/13 00:13:35.000,n,-3985.5404,-600.9154
2024/05/13 00:13:40.000,n,-3985.7392,-600.93492
2024/05/13 00:13:45.002,n,-3983.8964,-600.89636
2024/05/13 00:13:50.000,n,-3986.5612,-600.93492
2024/05/13 00:13:55.005,n,-3985.9488,-600.87684
2024/05/13 00:14:00.000,n,-3985.3308,-600.87684
2024/05/13 00:14:05.000,n,-3986.3568,-600.93492
2024/05/13 00:14:10.002,n,-3985.7392,-600.87684
2024/05/13 00:14:15.000,n,-3985.5404,-600.80016
2024/05/13 00:14:20.005,n,-3986.1528,-600.89636
2024/05/13 00:14:25.000,n,-3986.1528,-600.87684
2024/05/13 00:14:30.000,n,-3978.142,-600.97304
2024/05/13 00:14:35.002,n,-3986.1528,-600.89636
2024/05/13 00:14:40.000,n,-3986.5612,-600.97304
2024/05/13 00:14:45.005,n,-3986.3568,-600.83824
2024/05/13 00:14:50.000,n,-3985.9488,-600.9154
2024/05/13 00:14:55.091,n,-3985.9488,-600.80016
2024/05/13 00:15:00.001,n,-3987.3884,-600.87684
2024/05/13 00:15:05.000,n,-3978.76,-600.9154
2024/05/13 00:15:10.004,n,-3987.3884,-600.8192
2024/05/13 00:15:15.000,n,-3986.9748,-600.9154
2024/05/13 00:15:20.008,n,-3987.1788,-600.95396
2024/05/13 00:15:25.000,n,-3987.5876,-600.87684
2024/05/13 00:15:30.000,n,-3986.5612,-600.93492
2024/05/13 00:15:35.004,n,-3987.1788,-600.93492
2024/05/13 00:15:40.000,n,-3986.9748,-600.97304
2024/05/13 00:15:45.007,n,-3987.1788,-600.93492
2024/05/13 00:15:50.000,n,-3987.1788,-600.93492
2024/05/13 00:15:55.000,n,-3987.1788,-600.93492
2024/05/13 00:16:00.003,n,-3986.3568,-600.8578
2024/05/13 00:16:05.063,n,-3987.5876,-600.89636
2024/05/13 00:16:10.006,n,-3977.3256,-600.87684
2024/05/13 00:16:15.000,n,-3986.5612,-600.87684
2024/05/13 00:16:20.000,n,-3986.7708,-600.97304
2024/05/13 00:16:25.002,n,-3986.7708,-600.8578
2024/05/13 00:16:30.000,n,-3986.9748,-600.89636
2024/05/13 00:16:35.006,n,-3986.3568,-600.83824
2024/05/13 00:16:40.000,n,-3977.1156,-600.99256
2024/05/13 00:16:45.000,n,-3986.5612,-600.89636
2024/05/13 00:16:50.002,n,-3985.9488,-600.89636
2024/05/13 00:16:55.000,n,-3985.9488,-600.89636
2024/05/13 00:17:00.059,n,-3977.7336,-600.87684
2024/05/13 00:17:05.112,n,-3976.0896,-600.89636
2024/05/13 00:17:10.000,n,-3985.5404,-600.8578
2024/05/13 00:17:15.002,n,-3985.9488,-600.87684
2024/05/13 00:17:20.000,n,-3985.9488,-600.83824
2024/05/13 00:17:25.004,n,-3986.3568,-600.97304
2024/05/13 00:17:30.012,n,-3985.5404,-600.89636
2024/05/13 00:17:35.000,n,-3987.1788,-600.8578
2024/05/13 00:17:40.001,n,-3986.7708,-600.9154
2024/05/13 00:17:45.000,n,-3977.524,-600.99256
2024/05/13 00:17:50.004,n,-3986.7708,-600.87684
2024/05/13 00:17:55.000,n,-3986.9748,-600.8578
2024/05/13 00:18:00.008,n,-3986.1528,-600.8578
2024/05/13 00:18:05.000,n,-3986.3568,-600.8578
2024/05/13 00:18:10.000,n,-3986.9748,-600.9154
2024/05/13 00:18:15.004,n,-3986.5612,-600.83824
2024/05/13 00:18:20.000,n,-3978.142,-600.97304
2024/05/13 00:18:25.007,n,-3986.3568,-600.87684
2024/05/13 00:18:30.000,n,-3987.3884,-600.87684
2024/05/13 00:18:35.000,n,-3985.9488,-600.83824
2024/05/13 00:18:40.003,n,-3986.9748,-600.9154
2024/05/13 00:18:45.010,n,-3983.0688,-600.89636
2024/05/13 00:18:50.006,n,-3976.9168,-600.8578
2024/05/13 00:18:55.061,n,-3977.1156,-600.93492
2024/05/13 00:19:00.000,n,-3982.252,-600.83824
2024/05/13 00:19:05.002,n,-3986.9748,-600.8578
2024/05/13 00:19:10.000,n,-3986.5612,-600.93492
2024/05/13 00:19:15.005,n,-3986.1528,-600.87684
2024/05/13 00:19:20.000,n,-3986.3568,-600.89636
2024/05/13 00:19:25.000,n,-3986.3568,-600.87684
2024/05/13 00:19:30.002,n,-3986.5612,-600.83824
2024/05/13 00:19:35.000,n,-3986.9748,-600.93492
2024/05/13 00:19:40.005,n,-3987.5876,-600.93492
2024/05/13 00:19:45.000,n,-3986.9748,-600.89636
2024/05/13 00:19:50.000,n,-3987.3884,-600.87684
2024/05/13 00:19:55.002,n,-3978.3516,-600.99256
2024/05/13 00:20:00.000,n,-3986.3568,-600.8192
2024/05/13 00:20:05.005,n,-3987.5876,-600.89636
2024/05/13 00:20:10.000,n,-3986.1528,-600.93492
2024/05/13 00:20:15.008,n,-3986.9748,-600.8578
2024/05/13 00:20:20.001,n,-3986.5612,-600.93492
2024/05/13 00:20:25.006,n,-3986.7708,-600.8578
2024/05/13 00:20:30.004,n,-3978.9696,-600.99256
2024/05/13 00:20:35.000,n,-3985.7392,-600.87684
2024/05/13 00:20:40.008,n,-3986.5612,-600.89636
2024/05/13 00:20:45.000,n,-3984.7128,-600.8578
2024/05/13 00:20:50.000,n,-3986.3568,-600.87684
2024/05/13 00:20:55.020,n,-3978.76,-600.8578
2024/05/13 00:21:00.000,n,-3976.9168,-600.95396
2024/05/13 00:21:05.006,n,-3986.9748,-600.9154
2024/05/13 00:21:10.000,n,-3986.5612,-600.93492
2024/05/13 00:21:15.000,n,-3985.3308,-600.8192
2024/05/13 00:21:20.003,n,-3986.1528,-600.87684
2024/05/13 00:21:25.000,n,-3986.5612,-600.83824
2024/05/13 00:21:30.006,n,-3978.142,-600.95396
2024/05/13 00:21:35.000,n,-3977.7336,-600.99256
2024/05/13 00:21:40.000,n,-3986.1528,-600.87684
2024/05/13 00:21:45.003,n,-3986.3568,-600.89636
2024/05/13 00:21:50.000,n,-3984.7128,-600.8578
2024/05/13 00:21:55.006,n,-3986.3568,-600.95396
2024/05/13 00:22:00.000,n,-3987.1788,-600.87684
2024/05/13 00:22:05.000,n,-3976.9168,-600.97304
2024/05/13 00:22:10.003,n,-3976.0896,-600.95396
2024/05/13 00:22:15.000,n,-3985.7392,-600.87684
2024/05/13 00:22:20.023,n,-3986.7708,-600.89636
2024/05/13 00:22:25.000,n,-3985.5404,-600.8578
2024/05/13 00:22:30.045,n,-3985.7392,-600.89636
2024/05/13 00:22:35.002,n,-3985.5404,-600.9154
2024/05/13 00:22:40.000,n,-3976.7076,-601.05016
2024/05/13 00:22:45.005,n,-3986.1528,-600.83824
2024/05/13 00:22:50.006,n,-3985.1212,-600.87684
2024/05/13 00:22:55.008,n,-3985.1212,-600.89636
2024/05/13 00:23:00.002,n,-3985.5404,-600.93492
2024/05/13 00:23:05.000,n,-3985.5404,-600.8578
2024/05/13 00:23:10.005,n,-3983.6868,-600.80016
2024/05/13 00:23:15.000,n,-3985.7392,-600.8578
2024/05/13 00:23:20.008,n,-3985.5404,-600.83824
2024/05/13 00:23:25.001,n,-3985.1212,-600.9154
2024/05/13 00:23:30.000,n,-3985.5404,-600.9154
