datetime,x,y,z
1989-03-11 13:28:10,16568,-4137,54668
1989-03-11 13:28:20,16569,-4136,54669
1989-03-11 13:28:30,16568,-4135,54669
1989-03-11 13:28:40,16570,-4133,54669
1989-03-11 13:28:50,16570,-4133,54669
1989-03-11 13:29:00,16571,-4136,54668
1989-03-11 13:29:10,16569,-4136,54670
1989-03-11 13:29:20,16569,-4137,54669
1989-03-11 13:29:30,16567,-4136,54669
1989-03-11 13:29:40,16569,-4135,54668
1989-03-11 13:29:50,16570,-4134,54669
1989-03-11 13:30:00,16570,-4134,54669
1989-03-11 13:30:10,16570,-4138,54668
1989-03-11 13:30:20,16569,-4139,54667
1989-03-11 13:30:30,16569,-4139,54667
1989-03-11 13:30:40,16570,-4136,54670
1989-03-11 13:30:50,16568,-4135,54668
1989-03-11 13:31:00,16569,-4135,54667
1989-03-11 13:31:10,16569,-4136,54667
1989-03-11 13:31:20,16569,-4138,54666
1989-03-11 13:31:30,16569,-4138,54668
1989-03-11 13:31:40,16569,-4136,54670
1989-03-11 13:31:50,16569,-4137,54668
1989-03-11 13:32:00,16570,-4138,54668
1989-03-11 13:32:10,16570,-4138,54667
1989-03-11 13:32:20,16572,-4136,54669
1989-03-11 13:32:30,16572,-4137,54667
1989-03-11 13:32:40,16571,-4138,54667
1989-03-11 13:32:50,16570,-4138,54668
1989-03-11 13:33:00,16570,-4137,54670
1989-03-11 13:33:10,16570,-4140,54668
1989-03-11 13:33:20,16570,-4138,54670
1989-03-11 13:33:30,16571,-4139,54669
1989-03-11 13:33:40,16570,-4141,54667
1989-03-11 13:33:50,16572,-4140,54668
1989-03-11 13:34:00,16572,-4140,54668
1989-03-11 13:34:10,16571,-4140,54668
1989-03-11 13:34:20,16572,-4140,54668
1989-03-11 13:34:30,16569,-4140,54667
1989-03-11 13:34:40,16570,-4139,54667
1989-03-11 13:34:50,16570,-4140,54665
1989-03-11 13:35:00,16571,-4139,54667
1989-03-11 13:35:10,16572,-4139,54667
1989-03-11 13:35:20,16571,-4139,54667
1989-03-11 13:35:30,16571,-4141,54666
1989-03-11 13:35:40,16572,-4141,54666
1989-03-11 13:35:50,16573,-4140,54667
1989-03-11 13:36:00,16572,-4139,54666
1989-03-11 13:36:10,16572,-4138,54669
1989-03-11 13:36:20,16572,-4139,54668
1989-03-11 13:36:30,16571,-4140,54668
1989-03-11 13:36:40,16570,-4141,54669
1989-03-11 13:36:50,16571,-4143,54666
1989-03-11 13:37:00,16571,-4141,54667
1989-03-11 13:37:10,16570,-4140,54666
1989-03-11 13:37:20,16571,-4141,54665
1989-03-11 13:37:30,16570,-4139,54666
1989-03-11 13:37:40,16570,-4141,54664
1989-03-11 13:37:50,16571,-4140,54667
1989-03-11 13:38:00,16571,-4141,54666
1989-03-11 13:38:10,16570,-4142,54664
1989-03-11 13:38:20,16571,-4138,54666
1989-03-11 13:38:30,16571,-4140,54665
1989-03-11 13:38:40,16571,-4140,54665
1989-03-11 13:38:50,16569,-4140,54665
1989-03-11 13:39:00,16568,-4139,54664
1989-03-11 13:39:10,16569,-4138,54663
1989-03-11 13:39:20,16569,-4135,54665
1989-03-11 13:39:30,16569,-4136,54663
1989-03-11 13:39:40,16570,-4135,54663
1989-03-11 13:39:50,16571,-4135,54663
1989-03-11 13:40:00,16569,-4135,54661
1989-03-11 13:40:10,16568,-4132,54663
1989-03-11 13:40:20,16569,-4132,54664
1989-03-11 13:40:30,16569,-4132,54662
1989-03-11 13:40:40,16569,-4131,54661
1989-03-11 13:40:50,16570,-4131,54660
1989-03-11 13:41:00,16569,-4128,54660
1989-03-11 13:41:10,16568,-4126,54661
1989-03-11 13:41:20,16568,-4126,54661
1989-03-11 13:41:30,16568,-4124,54661
1989-03-11 13:41:40,16569,-4125,54660
1989-03-11 13:41:50,16570,-4125,54659
1989-03-11 13:42:00,16571,-4122,54660
1989-03-11 13:42:10,16571,-4123,54659
1989-03-11 13:42:20,16571,-4124,54658
1989-03-11 13:42:30,16573,-4123,54660
1989-03-11 13:42:40,16572,-4124,54659
1989-03-11 13:42:50,16572,-4123,54660
1989-03-11 13:43:00,16572,-4124,54660
1989-03-11 13:43:10,16574,-4122,54662
1989-03-11 13:43:20,16575,-4122,54661
