Z,Time,dT
44936.04597767254,1958-02-10 16:07:01.139582,14821.139582312666
44939.759883088904,1958-02-10 16:17:02.219690,15422.219690323469
44948.32074981136,1958-02-10 16:29:12.646151,16152.646150691022
44952.85297337031,1958-02-10 16:40:22.203739,16822.203739361277
44967.792525101664,1958-02-10 16:51:31.761328,17491.761328031538
44991.60468380027,1958-02-10 17:02:23.927811,18143.927810502573
44987.516090589685,1958-02-10 17:12:29.718010,18749.718009775665
44960.91025969733,1958-02-10 17:22:58.696351,19378.696350647726
44958.39235772014,1958-02-10 17:34:08.253939,20048.253939317983
44952.6851132385,1958-02-10 17:45:17.811528,20717.811527988244
44963.512091740435,1958-02-10 17:54:45.920997,21285.92099716301
44969.51309145275,1958-02-10 18:11:48.010801,22308.010801080112
44969.974706815236,1958-02-10 18:21:49.090909,22909.090909090915
44969.30326628798,1958-02-10 18:32:58.648498,23578.648497761173
44972.66046892424,1958-02-10 18:44:08.206086,24248.20608643143
44976.0176715605,1958-02-10 18:55:17.763675,24917.76367510169
44978.74539870246,1958-02-10 19:07:12.972918,25632.97291754493
44982.89993696483,1958-02-10 19:17:36.878852,26256.878852442213
44992.68618264952,1958-02-10 19:28:28.175780,26908.175779603283
44975.1037663984,1958-02-10 19:44:33.285556,27873.285556403756
44959.26523040557,1958-02-10 19:52:55.115588,28375.115587508128
44952.12557946579,1958-02-10 20:06:05.058278,29165.05827797972
44940.431323616154,1958-02-10 20:17:28.142283,29848.14228258271
44940.431323616154,1958-02-10 20:28:37.699871,30517.699871252968
44937.91342163896,1958-02-10 20:39:47.257460,31187.25745992322
44939.759883088904,1958-02-10 20:50:56.815049,31856.81504859348
44947.4814491523,1958-02-10 21:04:08.110381,32648.11038065833
44947.817169415925,1958-02-10 21:15:17.667969,33317.66796932858
44947.817169415925,1958-02-10 21:26:27.225558,33987.22555799885
44947.817169415925,1958-02-10 21:37:36.783147,34656.7831466691
44949.831490997676,1958-02-10 21:48:46.340735,35326.34073533936
44959.20368169057,1958-02-10 21:58:24.595016,35904.59501646368
44963.931742069966,1958-02-10 22:13:07.193656,36787.19365607447
44964.435322465404,1958-02-10 22:24:16.751245,37456.75124474474
