Voltage,Time,dT
-1766.6063957682838,1958-02-11 02:03:18.322990,-7001.677009819756
-844.6088098847127,1958-02-11 02:04:01.089201,-6958.910798700689
-1974.882331320362,1958-02-11 02:03:02.251296,-7017.748704400324
-1834.8671114714575,1958-02-11 02:03:18.046600,-7001.953400044659
-973.8507306007714,1958-02-11 02:04:09.843983,-6950.156017379715
-2095.2367511127995,1958-02-11 02:02:51.608312,-7028.391687741164
-2210.482329314705,1958-02-11 02:02:38.089092,-7041.910907521073
-2346.1138334762504,1958-02-11 02:02:22.019773,-7057.980226530936
-701.1129857005819,1958-02-11 02:04:08.466628,-6951.533372489262
-525.1908495373184,1958-02-11 02:04:09.768614,-6950.231385933133
-2485.954834764003,1958-02-11 02:02:25.741592,-7054.25840807267
-394.76706777128294,1958-02-11 02:04:17.344381,-6942.655619222915
-236.0386555802845,1958-02-11 02:04:19.477137,-6940.522863024077
-101.48660020641711,1958-02-11 02:04:23.853615,-6936.146384858432
5.271708901540774,1958-02-11 02:04:21.215272,-6938.784728416152
141.94146151535577,1958-02-11 02:04:19.753402,-6940.246598313154
238.07832415525436,1958-02-11 02:04:24.878314,-6935.121685741415
402.457068059284,1958-02-11 02:04:10.698999,-6949.30100080781
478.7998557865821,1958-02-11 02:04:20.227008,-6939.772991744016
572.3789000680121,1958-02-11 02:04:26.744844,-6933.255156034218
701.5903375568982,1958-02-11 02:04:24.620616,-6935.379383928278
838.349082895192,1958-02-11 02:04:30.579426,-6929.420574415578
968.7085921379922,1958-02-11 02:04:36.759250,-6923.24074996638
1103.3430481826745,1958-02-11 02:04:41.793822,-6918.206178005465
1235.9586877923898,1958-02-11 02:05:05.732904,-6894.267095751806
1204.7354256071574,1958-02-11 02:06:15.181950,-6824.81804965149
1191.154696381229,1958-02-11 02:07:20.874504,-6759.125496312704
1256.9983257404942,1958-02-11 02:08:15.489011,-6704.5109886536775
1228.9381506389495,1958-02-11 02:09:30.035715,-6629.964285046891
1125.4484014733207,1958-02-11 02:10:56.296812,-6543.703188112305
999.0402790650049,1958-02-11 02:11:59.439711,-6480.560289366593
915.4255716999638,1958-02-11 02:13:12.408016,-6407.591984420742
904.2809202106453,1958-02-11 02:14:23.849908,-6336.150091506269
980.427615541305,1958-02-11 02:15:00.127246,-6299.872753869034
950.0118799300615,1958-02-11 02:16:00.755478,-6239.244522445361
950.9567409554071,1958-02-11 02:17:05.708494,-6174.291506266128
906.6502926423093,1958-02-11 02:18:25.001725,-6094.998274540434
732.3587480392316,1958-02-11 02:19:13.542863,-6046.457137108499
742.5984047325146,1958-02-11 02:20:00.355423,-5999.644576634236
689.2673172365103,1958-02-11 02:21:15.078008,-5924.92199206406
750.4997135006682,1958-02-11 02:22:15.482754,-5864.5172458099905
594.0959157896615,1958-02-11 02:22:59.136888,-5820.863112013736
503.03768116099417,1958-02-11 02:23:13.258061,-5806.741939168091
312.86635013941896,1958-02-11 02:23:53.563559,-5766.436440591274
406.4531082096662,1958-02-11 02:23:56.041929,-5763.958071207872
496.1283849131534,1958-02-11 02:24:51.426940,-5708.573059964306
402.74900186445836,1958-02-11 02:26:09.609460,-5630.390539672836
409.06246278547565,1958-02-11 02:27:21.346302,-5558.65369794504
410.8807709214607,1958-02-11 02:28:29.644872,-5490.355127847997
407.8682023964643,1958-02-11 02:29:39.778905,-5420.221095156028
