D,Time,dT
6.489117248509503,1958-02-10 21:08:37.297592,35917.29759195611
6.488412661476764,1958-02-10 21:19:45.016383,36585.01638335467
6.501240834493133,1958-02-10 21:30:52.735175,37252.73517475321
6.507917752941726,1958-02-10 21:42:00.453966,37920.45396615176
6.475484384041779,1958-02-10 21:52:22.646476,38542.646476318594
6.425666656608244,1958-02-10 22:04:40.172232,39280.17223227244
6.413535173326874,1958-02-10 22:15:23.610340,39923.610340347404
6.411600335380579,1958-02-10 22:26:31.329132,40591.32913174596
6.419507504742729,1958-02-10 22:37:39.047923,41259.04792314452
6.421263419537099,1958-02-10 22:48:46.766715,41926.766714543075
6.441473098034799,1958-02-10 22:59:54.485506,42594.485505941615
6.3952492272005195,1958-02-10 23:11:02.204297,43262.20429734016
6.414228654784667,1958-02-10 23:22:09.923089,43929.92308873872
6.47380636251613,1958-02-10 23:33:17.641880,44597.641880137286
6.460799266347841,1958-02-10 23:44:25.360672,45265.360671535826
6.493389016726751,1958-02-10 23:55:50.422808,45950.42280816551
6.512290881565235,1958-02-11 00:06:40.798254,46600.79825433293
6.486981276261396,1958-02-11 00:17:48.517046,47268.51704573148
6.481355685574435,1958-02-11 00:28:56.235837,47936.235837130036
6.465888087579036,1958-02-11 00:40:03.954629,48603.95462852858
6.455341493237856,1958-02-11 00:51:11.673420,49271.67341992713
6.457097408032228,1958-02-11 01:02:19.392211,49939.392211325685
6.457623071913045,1958-02-11 01:13:27.111003,50607.11100272424
6.45758775001495,1958-02-11 01:23:03.777232,51183.77723165934
6.703494331472157,1958-02-11 01:35:42.548586,51942.54858552133
6.887327381472698,1958-02-11 01:46:50.267377,52610.267376919895
6.839793546375802,1958-02-11 01:56:45.144118,53205.14411834768
8.100438691026593,1958-02-11 02:14:39.564355,54279.56435541625
6.128917659625152,1958-02-11 03:13:50.614291,57830.61429149039
6.11339704384698,1958-02-11 03:25:12.341169,58512.341169421765
6.210482074951676,1958-02-11 03:36:06.051874,59166.05187428748
6.032993622290367,1958-02-11 03:42:27.605469,59547.60546937236
6.048273677092341,1958-02-11 03:51:36.811402,60096.81140169151
6.222404012486503,1958-02-11 04:02:34.413242,60754.413241705275
6.360785646087953,1958-02-11 04:13:57.307460,61437.307460181044
6.335193950743178,1958-02-11 04:25:03.080684,62103.0806840056
6.467865702554754,1958-02-11 04:30:33.827172,62433.82717158645
6.356238691712663,1958-02-11 04:37:14.169391,62834.16939067173
6.400846190183172,1958-02-11 04:46:24.820602,63384.82060176014
6.504992282285765,1958-02-11 05:00:42.232232,64242.2322316242
6.38566470470381,1958-02-11 05:11:38.990992,64898.99099235585
6.605743609213552,1958-02-11 05:19:17.626122,65357.62612180132
6.400572345214274,1958-02-11 05:24:28.722377,65668.72237688475
6.438491182608642,1958-02-11 05:34:48.385649,66288.38564920536
6.350246969610392,1958-02-11 05:44:57.931970,66897.93197014116
6.317777507591866,1958-02-11 05:56:20.826189,67580.82618861695
6.355773844075602,1958-02-11 06:07:51.308121,68271.30812063135
6.340316837508161,1958-02-11 06:19:24.319290,68964.31929049199
6.147503463491169,1958-02-11 06:29:41.187089,69581.18708940364
6.659946287223681,1958-02-11 06:29:36.394849,69576.39484927399
6.082414083035974,1958-02-11 06:38:42.710224,70122.71022405461
6.2032691754060325,1958-02-11 06:49:25.136637,70765.1366369911
6.789496037701906,1958-02-11 06:52:22.183286,70942.18328622557
6.024659893082881,1958-02-11 06:57:37.832169,71257.83216943216
6.255578729928851,1958-02-11 07:00:50.560093,71450.56009331309
6.481346430928647,1958-02-11 07:10:04.463182,72004.46318163235
6.638918703697028,1958-02-11 07:17:19.492091,72439.4920911799
6.51954899176938,1958-02-11 07:26:21.760685,72981.7606854066
6.60199492924554,1958-02-11 07:37:53.760160,73673.76016012872
6.600675216756026,1958-02-11 07:49:01.478952,74341.47895152727
6.51220697277675,1958-02-11 08:03:11.302868,75191.30286785272
6.483206614732241,1958-02-11 08:14:19.021659,75859.02165925127
6.411147474713305,1958-02-11 08:25:26.740451,76526.74045064981
6.469494931531213,1958-02-11 08:36:34.459242,77194.45924204837
6.5856641812862176,1958-02-11 08:47:42.178033,77862.17803344691
6.44814400096363,1958-02-11 08:59:35.423106,78575.42310607719
6.385054802980433,1958-02-11 09:00:14.879216,78614.879216478
7.011475452114137,1958-02-11 08:58:01.335458,78481.3354581983
6.38222722076957,1958-02-11 09:12:24.311411,79344.31141132403
7.121136505896223,1958-02-11 09:09:57.615616,79197.615616244
6.429558904344611,1958-02-11 09:21:00.665045,79860.66504546495
6.117944607288704,1958-02-11 09:23:32.752842,80012.75284210719
6.8223461945532105,1958-02-11 09:26:08.842949,80168.84294918737
6.501633207039881,1958-02-11 02:04:08.936283,53648.936282531824
6.094616785987248,1958-02-11 02:04:08.936283,53648.936282531824
6.977166100175427,1958-02-11 02:06:41.076915,53801.076914955396
7.214592345789463,1958-02-11 02:06:41.076915,53801.076914955396
7.520194862532675,1958-02-11 02:07:57.147231,53877.14723116719
7.792559746095643,1958-02-11 02:11:45.358180,54105.35817980258
7.930953494076428,1958-02-11 02:21:53.920709,54713.92070949693
7.864478227715946,1958-02-11 02:26:58.201974,55018.2019743441
7.627392183055647,1958-02-11 02:28:14.272291,55094.27229055589
7.730507092133757,1958-02-11 02:33:18.553555,55398.55355540306
8.00253177474299,1958-02-11 02:35:50.694188,55550.69418782664
8.207740990037998,1958-02-11 02:42:11.045769,55931.04576888562
7.90349927710974,1958-02-11 02:45:59.256718,56159.25671752098
7.565339529093762,1958-02-11 02:49:47.467666,56387.46766615637
7.295015851253222,1958-02-11 02:53:35.678615,56615.67861479177
7.024351972458944,1958-02-11 02:56:07.819247,56767.819247215346
6.685852023489227,1958-02-11 02:58:39.959880,56919.95987963892
6.280196406251551,1958-02-11 03:03:44.241144,57224.2411444861
