D,Time,dT
9.747181561034083,1958-02-10 17:31:44.652972,19904.652971804826
9.801317761211392,1958-02-10 17:34:27.984181,20067.984180676853
9.758298264681187,1958-02-10 17:33:59.161026,20039.161026170026
9.989444173711,1958-02-10 17:42:25.167516,20545.167516401
9.97893133235485,1958-02-10 17:45:59.739889,20759.73988884072
9.79118436653717,1958-02-10 17:53:24.897497,21204.897497335056
9.822564762008785,1958-02-10 17:57:19.142817,21439.14281650166
9.855275079381506,1958-02-10 17:59:55.611370,21595.611369538725
9.88220170006447,1958-02-10 18:02:19.727142,21739.727142072865
9.907271200272744,1958-02-10 18:04:15.019760,21855.01976010017
9.933791270939357,1958-02-10 18:05:41.489224,21941.489223620654
9.954489545371823,1958-02-10 18:08:34.428151,22114.428150661617
9.94727572188169,1958-02-10 18:11:56.190232,22316.190232209414
9.920853223219,1958-02-10 18:12:53.836541,22373.836541223067
9.856280071021926,1958-02-10 18:15:37.167750,22537.167750095097
9.842727319676847,1958-02-10 18:16:44.421777,22604.42177727769
9.859473927950381,1958-02-10 18:21:51.868759,22911.86875868385
9.852178143976952,1958-02-10 18:26:49.708022,23209.70802192107
9.839119106971728,1958-02-10 18:31:03.351782,23463.351781581154
9.818341636596077,1958-02-10 18:33:54.849551,23634.84955089678
9.827067013047003,1958-02-10 18:38:21.463730,23901.463730084935
9.833873202387409,1958-02-10 18:43:03.290130,24183.29012970725
9.842897528617026,1958-02-10 18:48:04.331966,24484.331965667447
9.86925958684395,1958-02-10 18:52:24.540999,24744.540999409644
9.896139628510756,1958-02-10 18:55:55.567666,24955.567666334635
9.89852874872113,1958-02-10 19:00:27.328837,25227.32883739901
9.89587200244285,1958-02-10 19:04:50.854821,25490.854821461435
9.88054762228366,1958-02-10 19:07:35.558562,25655.558561500453
9.882899665132543,1958-02-10 19:11:59.084546,25919.084545562877
9.907354833418966,1958-02-10 19:16:06.140156,26166.140155621397
9.936796488660224,1958-02-10 19:19:40.255018,26380.255017672116
9.946921210267432,1958-02-10 19:24:38.094281,26678.094280909336
9.937805661957956,1958-02-10 19:29:00.247734,26940.24773380477
9.923875787073898,1958-02-10 19:33:20.113635,27200.11363475521
9.909541375564048,1958-02-10 19:36:19.457707,27379.457707242145
9.885166262783704,1958-02-10 19:37:55.534889,27475.53488893157
9.847547376670706,1958-02-10 19:39:12.396634,27552.39663428311
9.835470401884981,1958-02-10 19:42:43.766434,27763.76643399984
9.873929452646054,1958-02-10 19:46:17.881296,27977.881296050553
9.851116560574255,1958-02-10 19:49:15.761335,28155.761335292696
10.125695888257589,1958-02-10 19:55:41.991606,28541.99160568419
9.757821555747729,1958-02-10 20:05:06.101915,29106.10191531782
9.941089656832892,1958-02-10 20:11:04.332550,29464.33254990268
9.825863624998604,1958-02-10 20:15:23.740940,29723.740940464126
9.808153655806326,1958-02-10 20:17:19.033558,29839.03355849144
9.835645543632024,1958-02-10 20:20:58.089533,30058.08953274332
9.877077543658382,1958-02-10 20:23:04.911413,30184.91141257337
9.91205656499854,1958-02-10 20:26:10.660631,30370.660630506256
9.909741165857799,1958-02-10 20:30:21.376324,30621.376323676755
9.890153818384299,1958-02-10 20:32:50.982221,30770.98222087887
9.874018661335356,1958-02-10 20:36:44.770030,31004.770029656458
9.879472936354723,1958-02-10 20:41:20.191284,31280.19128383282
9.873493723954244,1958-02-10 20:46:08.422829,31568.4228289011
9.874570918877568,1958-02-10 20:50:56.654374,31856.65437396938
9.898548263121915,1958-02-10 20:55:32.075628,32132.075628145732
9.904151064413922,1958-02-10 21:00:45.927755,32445.92775499785
9.898955897271643,1958-02-10 21:05:34.159300,32734.159300066134
9.893126512103857,1958-02-10 21:09:50.365118,32990.36511790459
9.878123190300437,1958-02-10 21:11:26.442300,33086.44229959402
9.8775702822782,1958-02-10 21:15:55.458408,33355.45840832442
9.8830577317789,1958-02-10 21:20:43.689953,33643.68995339269
9.890625416403266,1958-02-10 21:25:10.304133,33910.30413258085
9.875060242477248,1958-02-10 21:28:46.477791,34126.47779138205
9.87739074979098,1958-02-10 21:33:13.091971,34393.09197057021
9.896549988481548,1958-02-10 21:38:01.323516,34681.32351563848
9.900067598611592,1958-02-10 21:42:24.849500,34944.84949970091
9.890728563950272,1958-02-10 21:45:09.553240,35109.55323973992
9.900256857323967,1958-02-10 21:49:39.484369,35379.48436924831
9.906822369054693,1958-02-10 21:54:27.715914,35667.71591431659
