Time,D,dT
1958-02-10 22:47:00,9.800149437215792,38819.999999756226
1958-02-10 22:47:20,9.80225412590167,38839.99999973709
1958-02-10 22:47:40,9.804358814587546,38859.999999717955
1958-02-10 22:48:00,9.806463503273424,38879.999999698826
1958-02-10 22:48:20,9.8085681919593,38899.99999967969
1958-02-10 22:48:40,9.810672880645177,38919.99999966056
1958-02-10 22:49:00,9.812777569331054,38939.999999641426
1958-02-10 22:49:20,9.814882258016931,38959.99999962229
1958-02-10 22:49:40,9.816986946702809,38979.99999960316
1958-02-10 22:50:00,9.819091635388686,38999.999999584026
1958-02-10 22:50:20,9.821196324074563,39019.9999995649
1958-02-10 22:50:40,9.821793885544233,39039.99999958732
1958-02-10 22:51:00,9.821679917306014,39059.99999962938
1958-02-10 22:51:20,9.821565949067796,39079.99999967143
1958-02-10 22:51:40,9.821451980829579,39099.99999971349
1958-02-10 22:52:00,9.821338012591362,39119.999999755535
1958-02-10 22:52:20,9.821224044353142,39139.99999979759
1958-02-10 22:52:40,9.821110076114925,39159.999999839645
1958-02-10 22:53:00,9.820996107876708,39179.9999998817
1958-02-10 22:53:20,9.820882139638488,39199.99999992375
1958-02-10 22:53:40,9.820768171400271,39219.9999999658
1958-02-10 22:54:00,9.820654203162054,39240.00000000786
1958-02-10 22:54:20,9.820540234923836,39260.00000004991
1958-02-10 22:54:40,9.820426266685617,39280.00000009196
1958-02-10 22:55:00,9.82036769772042,39300.0000000679
1958-02-10 22:55:20,9.82033188017143,39320.00000001668
1958-02-10 22:55:40,9.820296062622441,39339.999999965454
1958-02-10 22:56:00,9.820260245073454,39359.99999991424
1958-02-10 22:56:20,9.820224427524465,39379.999999863016
1958-02-10 22:56:40,9.820188609975476,39399.99999981179
1958-02-10 22:57:00,9.820152792426487,39419.99999976057
1958-02-10 22:57:20,9.8201169748775,39439.999999709355
1958-02-10 22:57:40,9.820081157328511,39459.99999965813
1958-02-10 22:58:00,9.820045339779522,39479.99999960691
1958-02-10 22:58:20,9.820009522230535,39499.999999555694
1958-02-10 22:58:40,9.818091113668475,39519.99999955483
1958-02-10 22:59:00,9.814568404322426,39539.99999959688
1958-02-10 22:59:20,9.811045694976375,39559.99999963894
1958-02-10 22:59:40,9.807522985630326,39579.99999968099
1958-02-10 23:00:00,9.804000276284276,39599.99999972305
1958-02-10 23:00:20,9.800477566938227,39619.999999765096
1958-02-10 23:00:40,9.79681351455348,39639.999999805266
1958-02-10 23:01:00,9.790706622432987,39659.999999812775
1958-02-10 23:01:20,9.784599730312495,39679.99999982029
1958-02-10 23:01:40,9.779989676509118,39699.9999998278
1958-02-10 23:02:00,9.78256614856727,39719.999999835316
1958-02-10 23:02:20,9.785142620625422,39739.999999842825
1958-02-10 23:02:40,9.787719092683574,39759.99999985034
1958-02-10 23:03:00,9.790295564741728,39779.99999985785
1958-02-10 23:03:20,9.79287203679988,39799.999999865366
1958-02-10 23:03:40,9.795448508858032,39819.99999987288
1958-02-10 23:04:00,9.798024980916184,39839.99999988039
1958-02-10 23:04:20,9.800601452974337,39859.99999988791
1958-02-10 23:04:40,9.80317792503249,39879.999999895415
1958-02-10 23:05:00,9.805754397090642,39899.99999990293
1958-02-10 23:05:20,9.808330869148794,39919.99999991044
1958-02-10 23:05:40,9.811227154355597,39939.99999993334
1958-02-10 23:06:00,9.814300911590651,39959.99999996476
1958-02-10 23:06:20,9.817374668825705,39979.99999999619
1958-02-10 23:06:40,9.820448426060759,40000.00000002761
1958-02-10 23:07:00,9.823522183295811,40020.00000005904
1958-02-10 23:07:20,9.826595940530865,40040.00000009046
1958-02-10 23:07:40,9.828760628528917,40060.00000010636
1958-02-10 23:08:00,9.829550873991975,40080.000000098764
1958-02-10 23:08:20,9.830341119455033,40100.000000091175
1958-02-10 23:08:40,9.83113136491809,40120.000000083586
1958-02-10 23:09:00,9.831921610381148,40140.000000076
1958-02-10 23:09:20,9.832711855844206,40160.00000006841
1958-02-10 23:09:40,9.833502101307262,40180.00000006081
1958-02-10 23:10:00,9.83429234677032,40200.00000005322
1958-02-10 23:10:20,9.835082592233379,40220.000000045635
1958-02-10 23:10:40,9.835872837696435,40240.000000038046
1958-02-10 23:11:00,9.836663083159493,40260.00000003046
1958-02-10 23:11:20,9.837453328622551,40280.00000002286
1958-02-10 23:11:40,9.83824357408561,40300.00000001527
1958-02-10 23:12:00,9.839033819548666,40320.00000000768
1958-02-10 23:12:20,9.840065914129568,40340.0000000536
1958-02-10 23:12:40,9.841131404317665,40360.00000010691
1958-02-10 23:13:00,9.842196894505761,40380.000000160224
1958-02-10 23:13:20,9.843262384693858,40400.00000021353
1958-02-10 23:13:40,9.844327874881955,40420.00000026684
1958-02-10 23:14:00,9.845393365070052,40440.00000032015
1958-02-10 23:14:20,9.846458855258149,40460.00000037345
1958-02-10 23:14:40,9.847524345446246,40480.000000426764
1958-02-10 23:15:00,9.84386034412214,40500.00000037431
1958-02-10 23:15:20,9.840064552978902,40520.00000031891
1958-02-10 23:15:40,9.836268761835663,40540.00000026351
1958-02-10 23:16:00,9.832472970692427,40560.000000208114
1958-02-10 23:16:20,9.828677179549189,40580.000000152715
1958-02-10 23:16:40,9.82488138840595,40600.000000097316
1958-02-10 23:17:00,9.820777804083189,40620.0000000454
1958-02-10 23:17:20,9.811419431983909,40640.00000005292
1958-02-10 23:17:40,9.802061059884629,40660.00000006043
1958-02-10 23:18:00,9.793132882604066,40680.00000005806
1958-02-10 23:18:20,9.786260936390537,40700.000000008484
1958-02-10 23:18:40,9.779388990177006,40719.9999999589
1958-02-10 23:19:00,9.772517043963477,40739.99999990931
1958-02-10 23:19:20,9.765645097749946,40759.99999985973
1958-02-10 23:19:40,9.759211664566637,40779.99999982196
1958-02-10 23:20:00,9.755739958828185,40799.99999986401
1958-02-10 23:20:20,9.752268253089735,40819.99999990607
1958-02-10 23:20:40,9.748796547351283,40839.99999994812
1958-02-10 23:21:00,9.745324841612833,40859.99999999018
1958-02-10 23:21:20,9.741853135874381,40880.00000003223
1958-02-10 23:21:40,9.738381430135929,40900.00000007429
1958-02-10 23:22:00,9.735762760839458,40920.00000009158
1958-02-10 23:22:20,9.733616148831958,40940.00000009518
1958-02-10 23:22:40,9.73146953682446,40960.00000009877
1958-02-10 23:23:00,9.729322924816959,40980.000000102365
1958-02-10 23:23:20,9.727176312809458,41000.00000010596
1958-02-10 23:23:40,9.725029700801958,41020.000000109554
1958-02-10 23:24:00,9.72288308879446,41040.00000011315
1958-02-10 23:24:20,9.723333681219946,41060.00000013126
1958-02-10 23:24:40,9.725220956227522,41080.0000001574
1958-02-10 23:25:00,9.7271082312351,41100.00000018354
1958-02-10 23:25:20,9.728995506242676,41120.000000209686
1958-02-10 23:25:40,9.730882781250253,41140.00000023583
1958-02-10 23:26:00,9.73277005625783,41160.00000026197
1958-02-10 23:26:20,9.734657331265407,41180.00000028811
1958-02-10 23:26:40,9.736544606272984,41200.000000314256
1958-02-10 23:27:00,9.73843188128056,41220.0000003404
1958-02-10 23:27:20,9.740319156288137,41240.00000036654
1958-02-10 23:27:40,9.746462390044627,41260.000000343636
1958-02-10 23:28:00,9.752944115584897,41280.00000031684
1958-02-10 23:28:20,9.759425841125168,41300.000000290034
1958-02-10 23:28:40,9.765907566665437,41320.00000026323
1958-02-10 23:29:00,9.772389292205707,41340.00000023643
1958-02-10 23:29:20,9.778871017745978,41360.00000020963
1958-02-10 23:29:40,9.788283366553546,41380.000000202905
1958-02-10 23:30:00,9.79977271902414,41400.00000021042
1958-02-10 23:30:20,9.811262071494735,41420.00000021793
1958-02-10 23:30:40,9.819427032794648,41440.00000019991
1958-02-10 23:31:00,9.82618695982927,41460.00000017109
1958-02-10 23:31:20,9.832946886863892,41480.00000014227
1958-02-10 23:31:40,9.839706813898513,41500.00000011345
1958-02-10 23:32:00,9.846466740933135,41520.00000008463
1958-02-10 23:32:20,9.853226667967757,41540.00000005581
1958-02-10 23:32:40,9.859986595002379,41560.00000002699
1958-02-10 23:33:00,9.866746522037001,41579.99999999817
1958-02-10 23:33:20,9.871898172954754,41600.00000003204
1958-02-10 23:33:40,9.876587044434373,41620.000000083965
1958-02-10 23:34:00,9.881275915913992,41640.000000135886
1958-02-10 23:34:20,9.885964787393611,41660.00000018781
1958-02-10 23:34:40,9.89065365887323,41680.00000023973
1958-02-10 23:35:00,9.89534253035285,41700.00000029165
1958-02-10 23:35:20,9.899217947512364,41720.000000305256
1958-02-10 23:35:40,9.90111469840832,41740.00000022566
1958-02-10 23:36:00,9.903011449304273,41760.00000014606
1958-02-10 23:36:20,9.904908200200229,41780.00000006646
1958-02-10 23:36:40,9.906804951096182,41799.99999998686
1958-02-10 23:37:00,9.908701701992138,41819.99999990726
1958-02-10 23:37:20,9.910598452888092,41839.99999982766
1958-02-10 23:37:40,9.912495203784047,41859.99999974807
1958-02-10 23:38:00,9.90971205487424,41879.99999974911
1958-02-10 23:38:20,9.905739261065213,41899.99999977065
1958-02-10 23:38:40,9.901766467256184,41919.999999792184
1958-02-10 23:39:00,9.897793673447158,41939.99999981372
1958-02-10 23:39:20,9.89382087963813,41959.999999835265
1958-02-10 23:39:40,9.889204131785512,41979.99999989031
1958-02-10 23:40:00,9.883224748648392,42000.00000001624
1958-02-10 23:40:20,9.87724536551127,42020.00000014218
1958-02-10 23:40:40,9.87126598237415,42040.00000026811
1958-02-10 23:41:00,9.865286599237027,42060.000000394044
1958-02-10 23:41:20,9.862507151263872,42080.000000354026
1958-02-10 23:41:40,9.859735895081204,42100.00000031358
1958-02-10 23:42:00,9.856964638898537,42120.00000027313
1958-02-10 23:42:20,9.85419338271587,42140.000000232685
1958-02-10 23:42:40,9.851422126533203,42160.00000019224
1958-02-10 23:43:00,9.848650870350536,42180.00000015179
1958-02-10 23:43:20,9.845879614167869,42200.00000011134
1958-02-10 23:43:40,9.843108357985201,42220.00000007089
1958-02-10 23:44:00,9.840337101802536,42240.00000003044
1958-02-10 23:44:20,9.840521791336512,42260.00000005215
1958-02-10 23:44:40,9.840735703432646,42280.00000007446
1958-02-10 23:45:00,9.840949615528778,42300.00000009678
1958-02-10 23:45:20,9.84116352762491,42320.00000011909
1958-02-10 23:45:40,9.841377439721043,42340.00000014141
1958-02-10 23:46:00,9.841591351817176,42360.00000016372
1958-02-10 23:46:20,9.841805263913308,42380.00000018604
1958-02-10 23:46:40,9.842019176009442,42400.000000208354
1958-02-10 23:47:00,9.842233088105575,42420.00000023067
1958-02-10 23:47:20,9.842447000201707,42440.00000025299
1958-02-10 23:47:40,9.84266091229784,42460.00000027531
1958-02-10 23:48:00,9.842874824393972,42480.00000029762
1958-02-10 23:48:20,9.843088736490104,42500.00000031994
1958-02-10 23:48:40,9.843302648586238,42520.000000342254
1958-02-10 23:49:00,9.843516560682371,42540.00000036457
1958-02-10 23:49:20,9.844516617422503,42560.00000031754
1958-02-10 23:49:40,9.845646723661241,42580.00000025904
1958-02-10 23:50:00,9.84677682989998,42600.00000020054
1958-02-10 23:50:20,9.84790693613872,42620.00000014204
1958-02-10 23:50:40,9.849037042377459,42640.000000083535
1958-02-10 23:51:00,9.850167148616197,42660.00000002504
1958-02-10 23:51:20,9.851297254854936,42679.99999996654
1958-02-10 23:51:40,9.852427361093675,42699.99999990804
1958-02-10 23:52:00,9.853557467332415,42719.99999984954
1958-02-10 23:52:20,9.854687573571153,42739.99999979104
1958-02-10 23:52:40,9.855817679809892,42759.999999732536
1958-02-10 23:53:00,9.85694778604863,42779.99999967404
1958-02-10 23:53:20,9.85807789228737,42799.99999961554
1958-02-10 23:53:40,9.85922435452655,42819.99999959403
1958-02-10 23:54:00,9.860385476476528,42839.99999960567
1958-02-10 23:54:20,9.861546598426507,42859.99999961732
1958-02-10 23:54:40,9.862707720376486,42879.99999962896
1958-02-10 23:55:00,9.863868842326465,42899.999999640604
1958-02-10 23:55:20,9.865029964276443,42919.99999965225
1958-02-10 23:55:40,9.866191086226422,42939.999999663894
1958-02-10 23:56:00,9.867352208176401,42959.999999675536
1958-02-10 23:56:20,9.86851333012638,42979.999999687185
1958-02-10 23:56:40,9.869674452076358,42999.999999698826
1958-02-10 23:57:00,9.870835574026337,43019.999999710475
1958-02-10 23:57:20,9.871996695976316,43039.99999972212
1958-02-10 23:57:40,9.873157817926295,43059.99999973376
1958-02-10 23:58:00,9.874318939876273,43079.99999974541
1958-02-10 23:58:20,9.875865068354281,43099.99999975266
1958-02-10 23:58:40,9.877535267664557,43119.999999758504
1958-02-10 23:59:00,9.879205466974835,43139.99999976435
1958-02-10 23:59:20,9.88087566628511,43159.999999770196
1958-02-10 23:59:40,9.882545865595388,43179.99999977604
1958-02-11 00:00:00,9.884216064905663,43199.99999978188
1958-02-11 00:00:20,9.88588626421594,43219.999999787724
1958-02-11 00:00:40,9.887556463526217,43239.999999793574
1958-02-11 00:01:00,9.889226662836494,43259.99999979942
1958-02-11 00:01:20,9.89089686214677,43279.99999980526
1958-02-11 00:01:40,9.892567061457047,43299.9999998111
1958-02-11 00:02:00,9.894237260767323,43319.999999816944
1958-02-11 00:02:20,9.8959074600776,43339.99999982279
1958-02-11 00:02:40,9.897577659387876,43359.99999982864
1958-02-11 00:03:00,9.899247858698153,43379.99999983448
1958-02-11 00:03:20,9.900918058008429,43399.99999984032
1958-02-11 00:03:40,9.902588257318707,43419.999999846164
1958-02-11 00:04:00,9.904258456628982,43439.99999985201
1958-02-11 00:04:20,9.90592865593926,43459.99999985785
1958-02-11 00:04:40,9.907598855249535,43479.9999998637
1958-02-11 00:05:00,9.909269054559813,43499.99999986954
1958-02-11 00:05:20,9.91061416236591,43519.99999986718
1958-02-11 00:05:40,9.911576370245418,43539.99999985515
1958-02-11 00:06:00,9.912538578124925,43559.99999984312
1958-02-11 00:06:20,9.913500786004434,43579.999999831096
