Time,H,dT
1958-02-11 05:02:20,15943.208840821178,61339.99999961398
1958-02-11 05:02:40,15942.78966253458,61359.999999626496
1958-02-11 05:03:00,15934.859675771384,61379.999999658525
1958-02-11 05:03:20,15926.92968900819,61399.999999690546
1958-02-11 05:03:40,15918.999702244993,61419.999999722575
1958-02-11 05:04:00,15911.069715481799,61439.999999754604
1958-02-11 05:04:20,15903.335371092211,61459.999999786276
1958-02-11 05:04:40,15906.937094000807,61479.99999979745
1958-02-11 05:05:00,15910.538816909402,61499.999999808635
1958-02-11 05:05:20,15914.140539817998,61519.99999981981
1958-02-11 05:05:40,15917.742262726591,61539.999999830994
1958-02-11 05:06:00,15921.343985635187,61559.99999984217
1958-02-11 05:06:20,15924.945708543783,61579.99999985335
1958-02-11 05:06:40,15928.547431452378,61599.99999986453
1958-02-11 05:07:00,15932.149154360974,61619.99999987571
1958-02-11 05:07:20,15935.750877269567,61639.999999886895
1958-02-11 05:07:40,15939.352600178163,61659.99999989807
1958-02-11 05:08:00,15942.954323086758,61679.999999909254
1958-02-11 05:08:20,15946.556045995354,61699.99999992043
1958-02-11 05:08:40,15950.157768903948,61719.99999993161
1958-02-11 05:09:00,15953.759491812543,61739.99999994279
1958-02-11 05:09:20,15957.361214721139,61759.99999995397
1958-02-11 05:09:40,15960.962937629734,61779.99999996515
1958-02-11 05:10:00,15964.56466053833,61799.99999997633
1958-02-11 05:10:20,15965.052751458383,61819.999999976404
1958-02-11 05:10:40,15960.572280676983,61839.99999995876
1958-02-11 05:11:00,15956.091809895584,61859.99999994111
1958-02-11 05:11:20,15951.611339114184,61879.99999992346
1958-02-11 05:11:40,15947.130868332786,61899.99999990581
1958-02-11 05:12:00,15942.650397551386,61919.99999988816
1958-02-11 05:12:20,15938.169926769988,61939.99999987052
1958-02-11 05:12:40,15933.689455988588,61959.999999852866
1958-02-11 05:13:00,15929.208985207188,61979.99999983522
1958-02-11 05:13:20,15924.72851442579,61999.99999981757
1958-02-11 05:13:40,15920.24804364439,62019.99999979992
1958-02-11 05:14:00,15915.767572862991,62039.999999782274
1958-02-11 05:14:20,15911.287102081591,62059.99999976462
