H,Time,dT
15938.94714792424,1958-02-11 00:00:21.754551,43221.754551218175
15925.548048366027,1958-02-11 00:10:45.030024,43845.0300244543
15923.406707558868,1958-02-11 00:21:37.889231,44497.889231047906
15935.325979431047,1958-02-11 00:33:20.502898,45200.50289828821
15937.233795093332,1958-02-11 00:44:26.136899,45866.13689883163
15937.56971053797,1958-02-11 00:55:31.770899,46531.770899375064
15941.273983591847,1958-02-11 01:06:37.404900,47197.40489991851
15934.353402326662,1958-02-11 01:17:04.138212,47824.13821211847
15954.65372583083,1958-02-11 01:28:36.570465,48516.570464631826
15982.061020942989,1958-02-11 01:35:42.172810,48942.17281043384
15961.816874713615,1958-02-11 01:42:15.501993,49335.501992573125
15938.218402046323,1958-02-11 01:50:34.007110,49834.00710986325
15885.680437662488,1958-02-11 01:54:36.055837,50076.05583733357
15815.175467098228,1958-02-11 02:01:35.318812,50495.318811701836
16080.43930410977,1958-02-11 02:15:12.233267,51312.23326691423
16027.797731664565,1958-02-11 02:20:38.068092,51638.06809235509
15973.481372360433,1958-02-11 02:23:16.330722,51796.330721854916
15887.875786427481,1958-02-11 02:37:32.145865,52652.145865410734
15938.233667610124,1958-02-11 02:38:57.631329,52737.631328684
15920.438680230234,1958-02-11 02:47:19.978489,53239.97848926728
15862.237352365693,1958-02-11 02:49:38.292048,53378.29204782176
15812.544085623982,1958-02-11 02:55:50.009736,53750.00973643692
15753.953726917689,1958-02-11 02:54:32.208360,53672.208359750024
15848.886652679244,1958-02-11 03:08:39.378906,54519.378905896214
15778.827115197735,1958-02-11 03:11:40.915451,54700.91545149897
15677.561953225691,1958-02-11 03:12:41.427633,54761.427633366555
15834.613109488377,1958-02-11 03:18:44.500725,55124.500724572055
15911.606667774495,1958-02-11 03:20:22.833020,55222.833020106875
15878.252781457719,1958-02-11 03:30:04.372886,55804.372885554905
15910.488384880866,1958-02-11 03:33:06.799316,55986.799316185134
15897.931688070747,1958-02-11 03:42:56.793089,56576.79308939408
15902.169203208377,1958-02-11 03:53:12.593528,57192.593528399506
15865.732121990599,1958-02-11 03:56:33.707545,57393.707544606485
15917.409207825747,1958-02-11 04:06:01.454192,57961.45419212881
15915.006132074226,1958-02-11 04:16:33.865818,58593.86581831356
15883.839229891453,1958-02-11 04:16:21.259114,58581.25911375782
15923.267228512754,1958-02-11 04:27:29.414455,59249.414455212405
15893.66280097499,1958-02-11 04:31:11.292455,59471.29245539354
15914.174867892238,1958-02-11 04:39:21.693263,59961.69326261208
15893.683047933297,1958-02-11 04:43:27.524001,60207.52400144914
15902.520604199048,1958-02-11 04:52:20.607508,60740.60750837788
15871.930222102304,1958-02-11 05:00:21.103048,61221.10304773118
15903.274265702034,1958-02-11 05:04:19.660688,61459.66068778608
15910.111429903529,1958-02-11 05:14:25.247985,62065.24798478399
15893.033198444562,1958-02-11 05:25:11.797374,62711.79737412303
15929.359200818,1958-02-11 05:24:48.523458,62688.52345802011
15876.79563849402,1958-02-11 05:36:50.347342,63410.347341726294
15847.676264202959,1958-02-11 05:44:54.985084,63894.985084005086
15861.796981022519,1958-02-11 05:54:16.343628,64456.343628294555
15828.647286981692,1958-02-11 05:56:19.529141,64579.529141382125
15859.098350722468,1958-02-11 06:06:39.779006,65199.77900552486
15855.562454463503,1958-02-11 06:16:56.246858,65816.24685830087
15864.285892141792,1958-02-11 06:29:02.683965,66542.68396466319
15828.256900316837,1958-02-11 06:34:20.081996,66860.08199551672
15895.602893444186,1958-02-11 06:40:01.003306,67201.00330586
15838.603560004467,1958-02-11 06:44:53.190698,67493.19069830632
15771.487592811478,1958-02-11 06:54:03.851553,68043.85155330134
15721.786371907574,1958-02-11 06:55:04.363735,68104.36373516892
15847.135290785696,1958-02-11 06:54:03.851553,68043.85155330134
15780.560761002766,1958-02-11 07:05:54.869690,68754.86969024545
15822.30384263357,1958-02-11 07:07:27.799112,68847.79911239924
15810.696839920738,1958-02-11 07:18:16.143918,69496.14391812336
15766.462567719145,1958-02-11 07:22:56.517027,69776.51702744319
15810.897622257282,1958-02-11 07:30:04.136446,70204.1364459741
15694.91359649472,1958-02-11 07:24:49.473100,69889.47310026266
15768.953348530062,1958-02-11 07:34:50.560773,70490.56077348067
15772.176664292525,1958-02-11 07:44:15.341138,71055.34113757813
15732.221597977408,1958-02-11 07:47:36.039874,71256.03987410563
15680.86625682138,1958-02-11 07:52:39.609320,71559.60931980799
15755.499504311505,1958-02-11 07:59:58.089899,71998.08989918695
15764.102217019645,1958-02-11 08:10:44.557145,72644.55714529267
15705.74774388475,1958-02-11 08:10:36.726157,72636.726157051
15751.844361988622,1958-02-11 08:21:18.155285,73278.1552848474
15682.95017500512,1958-02-11 08:18:46.874830,73126.87483017844
15767.89927960972,1958-02-11 08:32:23.789285,73943.78928539081
15686.619706119178,1958-02-11 08:33:24.301467,74004.30146725841
15761.049365487976,1958-02-11 08:43:29.423286,74609.42328593424
15663.826232647023,1958-02-11 08:44:29.935468,74669.93546780184
15751.77886614622,1958-02-11 08:52:03.776832,75123.7768318087
15685.271442759195,1958-02-11 08:55:41.070576,75341.07057578776
15661.278337007354,1958-02-11 08:59:07.362105,75547.36210488182
15723.119055627561,1958-02-11 09:07:50.360248,76070.36024816593
15756.952917654718,1958-02-11 09:18:55.242545,76735.2425445868
15754.181505198641,1958-02-11 09:26:21.191015,77181.19101530658
15762.5508875441,1958-02-11 02:04:18.196721,50658.19672131147
15699.351668184223,1958-02-11 02:08:10.573770,50890.573770491814
15857.446906279461,1958-02-11 02:08:10.573770,50890.573770491814
15933.34557919125,1958-02-11 02:09:28.032787,50968.032786885255
16078.806156864941,1958-02-11 02:10:45.491803,51045.49180327868
16015.568061626846,1958-02-11 02:10:45.491803,51045.49180327868
16186.323877395776,1958-02-11 02:12:02.950820,51122.950819672136
15901.90795233723,1958-02-11 02:27:32.459016,52052.45901639344
15819.724345779852,1958-02-11 02:30:07.377049,52207.37704918032
15940.161816505846,1958-02-11 02:58:31.475410,53911.475409836065
15864.26314359406,1958-02-11 02:57:14.016393,53834.016393442624
15845.356508152998,1958-02-11 03:03:41.311475,54221.31147540983
15858.120754835278,1958-02-11 03:15:18.442623,54918.44262295083
15839.240036646363,1958-02-11 03:24:20.655738,55460.65573770492
15953.09452532708,1958-02-11 03:26:55.573770,55615.5737704918
15871.001629152217,1958-02-11 03:38:32.704918,56312.70491803278
15978.532308309126,1958-02-11 03:41:07.622951,56467.62295081968
15826.825672868064,1958-02-11 03:47:34.918033,56854.918032786896
15814.216929698665,1958-02-11 03:51:27.295082,57087.29508196722
15947.003971072592,1958-02-11 03:50:09.836066,57009.83606557376
15991.594603391093,1958-02-11 04:22:26.311475,58946.31147540983
15985.361504249797,1958-02-11 04:31:28.524590,59488.52459016393
15890.400692384068,1958-02-11 04:21:08.852459,58868.85245901639
15972.493588558931,1958-02-11 04:09:31.721311,58171.72131147541
15953.78133250897,1958-02-11 04:35:20.901639,59720.90163934425
15953.846125639337,1958-02-11 04:41:48.196721,60108.19672131148
15966.62333094769,1958-02-11 04:54:42.786885,60882.7868852459
