 Format                 IAGA-2002                                    |
 Source of Data         Geological Survey of Canada (GSC)            |
 Station Name           St Johns                                     |
 IAGA CODE              STJ                                          |
 Geodetic Latitude      47.595                                       |
 Geodetic Longitude     307.323                                      |
 Elevation              100                                          |
 Reported               XYZF                                         |
 Sensor Orientation     XYZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 #                                                                   |
 # CONDITIONS OF USE: The use of this data in publications           |
 # is conditional on an acknowledgement of the form:                 |
 # The results presented in this paper rely on the data collected at |
 # St Johns.  We thank the Geological Survey of Canada for           |
 # supporting its operation.                                         |
 #                                                                   |
DATE       TIME         DOY     STJX      STJY      STJZ      STJF   | 
1989-03-12 01:53:00.000 071     17210.00  -7490.00  49433.00  52876.60
1989-03-12 01:54:00.000 071     17209.00  -7491.00  49432.00  52875.90
1989-03-12 01:55:00.000 071     17208.00  -7491.00  49433.00  52877.20
1989-03-12 01:56:00.000 071     17208.00  -7492.00  49434.00  52879.20
1989-03-12 01:57:00.000 071     17209.00  -7493.00  49435.00  52879.90
1989-03-12 01:58:00.000 071     17210.00  -7493.00  49436.00  52880.50
1989-03-12 01:59:00.000 071     17211.00  -7493.00  49436.00  52881.00
1989-03-12 02:00:00.000 071     17211.00  -7493.00  49436.00  52880.80
1989-03-12 02:01:00.000 071     17211.00  -7495.00  49438.00  52883.80
1989-03-12 02:02:00.000 071     17211.00  -7496.00  49439.00  52884.90
1989-03-12 02:03:00.000 071     17210.00  -7497.00  49440.00  52885.00
1989-03-12 02:04:00.000 071     17209.00  -7498.00  49440.00  52884.90
1989-03-12 02:05:00.000 071     17209.00  -7498.00  49440.00  52884.40
1989-03-12 02:06:00.000 071     17208.00  -7498.00  49440.00  52884.60
1989-03-12 02:07:00.000 071     17209.00  -7498.00  49440.00  52884.40
1989-03-12 02:08:00.000 071     17209.00  -7498.00  49440.00  52884.60
1989-03-12 02:09:00.000 071     17210.00  -7498.00  49439.00  52884.30
1989-03-12 02:10:00.000 071     17210.00  -7498.00  49439.00  52884.00
1989-03-12 02:11:00.000 071     17211.00  -7498.00  49438.00  52884.10
1989-03-12 02:12:00.000 071     17211.00  -7497.00  49437.00  52882.40
1989-03-12 02:13:00.000 071     17211.00  -7497.00  49436.00  52881.70
1989-03-12 02:14:00.000 071     17211.00  -7497.00  49436.00  52880.50
1989-03-12 02:15:00.000 071     17212.00  -7498.00  49435.00  52881.20
1989-03-12 02:16:00.000 071     17213.00  -7498.00  49434.00  52880.60
1989-03-12 02:17:00.000 071     17213.00  -7497.00  49432.00  52879.60
1989-03-12 02:18:00.000 071     17214.00  -7498.00  49433.00  52880.00
1989-03-12 02:19:00.000 071     17215.00  -7498.00  49431.00  52879.40
