start_time,end_time,Vt_min,Vt_max,V_min,V_max,V.00_min,V.00_max,V.01_min,V.01_max,V.02_min,V.02_max,V.03_min,V.03_max,V.04_min,V.04_max,V.05_min,V.05_max,V.06_min,V.06_max,V.07_min,V.07_max,V.08_min,V.08_max
1989-03-13 18:00:00,1989-03-13 18:59:00,16.472,50.7838,24.142,101.304,1.47433,8.41073,1.59852,4.80962,19.5471,38.1132,3.20293,7.07587,6.79908,13.5197,4.81845,10.7793,7.52648,23.6187,0.495697,8.3851,0.306014,25.5711
1989-03-13 19:00:00,1989-03-13 19:59:00,9.46117,90.9722,29.386,176.634,0.00156515,9.5182,1.08543,6.84763,12.1247,61.6849,2.16539,12.2479,5.20519,22.3771,3.37699,18.7562,1.99243,46.2051,0.0196312,14.9738,1.54524,22.5557
1989-03-13 20:00:00,1989-03-13 20:59:00,0.445183,96.2142,2.48523,162.709,0.989764,31.7287,5.07085,23.1075,0.00314744,53.2078,0.088113,10.6122,0.0607236,19.9649,0.0713687,16.3015,1.03582,46.3723,0.186708,28.5668,0.555781,54.9253
1989-03-13 21:00:00,1989-03-13 21:59:00,51.7039,285.757,0.320612,444.796,0.0306945,54.0288,12.5846,35.6716,20.907,165.893,3.03368,29.6012,3.6143,47.1861,3.97954,43.8448,19.052,149.903,11.0267,76.2758,0.308885,181.354
1989-03-13 22:00:00,1989-03-13 22:59:00,0.609757,305.182,5.7455,405.092,0.305151,41.5341,0.344129,33.4954,0.73475,181.672,0.0437636,31.0922,0.0353018,51.7427,0.101308,45.8196,0.00500194,146.841,8.83927,60.3294,0.221466,110.668
1989-03-13 23:00:00,1989-03-13 23:59:00,8.32912,189.68,7.53906,383.553,0.142768,51.8047,1.44806,26.6554,3.80252,114.853,1.3662,22.2916,0.634552,38.9736,1.67173,33.6687,0.833367,93.1214,2.74491,54.091,0.844985,79.7756
1989-03-14 00:00:00,1989-03-14 00:59:00,3.80397,147.391,6.45902,288.141,0.196728,26.8368,0.00894507,16.0273,6.22903,96.0026,0.0923031,17.24,0.585595,30.8129,0.517563,25.9382,0.693514,70.606,3.58643,47.3252,2.16374,92.7249
1989-03-14 01:00:00,1989-03-14 01:59:00,25.2894,277.776,61.827,572.056,0.0893929,56.9691,6.91031,37.8196,0.648397,147.348,0.521895,28.4821,0.94831,50.7738,0.294325,43.5439,1.71699,113.257,0.931755,103.898,1.1646,220.279
1989-03-14 02:00:00,1989-03-14 02:59:00,1.52147,99.9579,2.77441,275.918,0.00657201,9.20402,6.32115,13.6316,0.280563,35.0474,0.149395,8.78502,0.020803,18.05,0.0399136,14.2239,0.672915,31.7544,14.0707,30.9916,19.5886,212.264
1989-03-14 03:00:00,1989-03-14 03:59:00,0.50761,74.7819,2.22286,118.18,0.0120419,2.49822,4.19584,7.50446,4.74222,54.9279,0.382321,10.3895,0.562046,19.1666,0.647533,15.8366,0.244733,40.1593,11.4581,20.4687,5.54193,37.7195
1989-03-14 04:00:00,1989-03-14 04:59:00,0.280042,81.7454,1.66943,145.425,0.0369537,4.8925,2.61027,6.10404,0.594328,34.168,0.142494,7.01856,0.145038,10.2858,0.239887,10.5115,0.839842,38.7102,11.2191,22.9,0.712326,47.3127
1989-03-14 05:00:00,1989-03-14 05:59:00,0.0447106,59.5635,1.51076,107.153,0.0109636,3.57445,3.27205,5.38424,0.0277524,41.6812,0.0105207,8.3764,0.381353,15.4857,0.00392469,12.8504,0.319081,31.9968,6.34563,20.6272,0.0184322,17.6268
1989-03-14 06:00:00,1989-03-14 06:59:00,0.281709,89.245,3.01417,157.525,0.000753788,7.89289,0.0501289,4.29684,0.203507,58.3701,0.0109057,11.3278,0.0377109,20.6453,0.032469,17.2297,1.08905,44.2234,1.37752,8.1084,1.40616,23.2462
1989-03-14 07:00:00,1989-03-14 07:59:00,0.628022,49.6988,6.37325,79.5916,0.0327721,4.31308,0.0653897,2.05004,0.37965,25.2547,0.0187551,5.20806,0.146366,8.12308,0.0402356,7.77703,0.35998,24.9201,3.66885,9.45293,0.156026,19.3255
1989-03-14 08:00:00,1989-03-14 08:59:00,19.6131,44.2506,27.6431,89.4049,0.0215553,5.11203,0.0278007,2.20796,9.97907,23.9425,2.29554,5.11844,3.39466,8.65715,3.3922,7.74919,9.90712,20.927,5.32062,9.80974,0.055531,11.1036
1989-03-14 09:00:00,1989-03-14 09:59:00,34.1433,53.0639,62.3177,102.004,0.636337,4.3736,1.28762,2.76428,18.6737,27.9574,3.95548,5.77236,6.79605,9.74892,5.95576,8.73154,14.841,23.8728,7.28837,12.5745,0.180949,18.1399
1989-03-14 10:00:00,1989-03-14 10:59:00,26.125,41.7356,49.6615,77.8551,0.00859657,2.22649,0.993289,2.03941,15.5283,24.239,2.86036,4.84029,5.17121,8.61325,4.22913,7.3225,9.72701,18.5348,5.33064,9.34012,0.0417518,7.97099
1989-03-14 11:00:00,1989-03-14 11:59:00,16.4214,28.0741,28.5714,55.4641,0.0320501,1.99626,0.860973,2.04426,11.4935,17.7806,2.0813,3.35505,3.9263,6.13681,3.11112,5.04827,6.35951,11.7016,2.16393,5.61517,0.0714273,6.45487
1989-03-14 12:00:00,1989-03-14 12:59:00,16.674,30.6994,29.844,55.1967,0.0171537,1.49163,0.593515,1.56998,11.1476,19.0689,1.76979,3.43588,3.44736,6.23574,2.56048,5.15079,5.44911,13.1148,1.91975,5.82099,0.0300899,11.6927
1989-03-14 13:00:00,1989-03-14 13:59:00,9.54961,25.6151,11.2496,50.8451,0.0148801,1.90498,0.153633,1.61091,7.30039,15.7159,1.08666,2.91294,2.25629,5.38265,1.59826,4.41294,2.75724,10.5756,0.748922,5.58922,0.0465498,11.6217
1989-03-14 14:00:00,1989-03-14 14:59:00,3.92184,18.9591,1.80184,36.2791,0.0342803,1.21993,0.0410041,0.898581,4.80273,11.7171,0.609502,1.97179,1.38888,3.75657,0.883698,2.95278,1.13503,6.86979,0.234348,4.21917,0.0240238,11.2716
1989-03-14 15:00:00,1989-03-14 15:59:00,0.73643,10.9496,0.92357,23.3076,0.0163756,1.05469,0.0133787,0.71527,2.69943,7.9976,0.374394,1.36496,0.989885,2.69808,0.575965,2.09433,0.130046,4.29352,0.0232324,2.92701,0.0364834,10.6347
1989-03-14 16:00:00,1989-03-14 16:59:00,0.905025,11.1823,1.72502,24.8283,0.0099834,1.07668,0.00540027,0.629903,1.98005,7.33375,0.280417,1.46606,0.83522,2.85746,0.445019,2.27945,0.0220627,4.83531,0.188129,3.20605,0.0755321,8.02183
1989-03-14 17:00:00,1989-03-14 17:59:00,0.161926,29.5507,0.00192571,55.6607,0.0196174,1.48896,0.00756099,0.690988,0.026632,17.6735,0.0115541,3.61938,0.260124,6.61834,0.0608373,5.5623,0.25181,13.6181,0.596674,5.67564,0.0914026,9.90176
1989-03-14 18:00:00,1989-03-14 18:59:00,1.71441,23.1996,0.645592,47.6096,0.020251,3.09586,0.0394569,1.43536,3.3575,15.1759,0.567514,3.28741,1.36267,6.11825,0.831751,5.11644,0.554737,11.7586,0.00861762,3.73587,0.00989943,8.1593
1989-03-14 19:00:00,1989-03-14 19:59:00,3.69351,52.2172,2.30351,105.267,0.0468603,3.20261,0.0160662,2.05012,4.68855,28.3862,0.968143,5.4907,2.03309,9.76,1.50672,8.33371,2.25561,22.5047,0.0809981,11.0729,0.0377664,18.9978
1989-03-14 20:00:00,1989-03-14 20:59:00,0.947371,27.0687,0.373011,54.1887,0.250264,5.58697,0.0435758,3.21395,0.138167,18.1851,0.0139375,3.69622,0.0539935,6.89074,0.00966226,5.68102,0.0300427,12.862,0.130023,5.02124,0.14133,27.0671
1989-03-14 21:00:00,1989-03-14 21:59:00,0.444125,39.0023,0.154125,84.4305,0.0391881,6.44359,0.0409507,3.61292,0.0850322,23.2195,0.0345987,4.56428,0.0858522,8.34305,0.0263105,7.02778,0.260509,18.2005,0.0103546,3.83048,0.0814924,15.024
1989-03-14 22:00:00,1989-03-14 22:59:00,0.128866,15.9493,0.328725,38.3493,0.0679024,3.92081,0.0362924,1.76736,0.24521,8.06238,0.552582,2.25434,0.801325,3.75692,0.820381,3.55375,0.8117,9.0582,0.0080064,6.57688,0.0464835,27.4795
1989-03-14 23:00:00,1989-03-14 23:59:00,0.00288794,17.6858,0.254424,44.4114,0.0115787,3.31566,0.0699249,1.84072,0.160074,7.22679,0.0353307,1.40272,0.00180875,2.27138,0.00857848,2.09322,0.239353,6.5481,0.0913093,4.9622,0.198539,17.5413
