"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/11 23:57:30.004,n,619.5526,592.914,367.3414
2024/05/11 23:57:35.013,n,619.33748,592.9474,367.23452
2024/05/11 23:57:40.000,n,619.0894,593.17952,367.23116
2024/05/11 23:57:45.017,n,618.94104,593.19592,367.15332
2024/05/11 23:57:50.087,n,619.18904,593.04652,367.20788
2024/05/11 23:57:55.003,n,618.7592,592.93096,366.88152
2024/05/11 23:58:00.013,n,618.95744,592.86372,366.9574
2024/05/11 23:58:05.000,n,619.6692,592.83088,367.35904
2024/05/11 23:58:10.016,n,619.02368,592.78108,366.94552
2024/05/11 23:58:15.009,n,619.37084,593.03008,367.30556
2024/05/11 23:58:20.002,n,619.42016,593.01312,367.32428
2024/05/11 23:58:25.194,n,619.1064,592.9638,367.10768
2024/05/11 23:58:30.000,n,619.65272,593.21236,367.58564
2024/05/11 23:58:35.053,n,618.17952,592.98028,366.56824
2024/05/11 23:58:40.000,n,619.18904,593.04652,367.20788
2024/05/11 23:58:45.002,n,618.77568,593.04652,366.96276
2024/05/11 23:58:50.000,n,619.27172,592.64808,367.0102
2024/05/11 23:58:55.074,n,619.1228,592.86372,367.05544
2024/05/11 23:59:00.081,n,619.28816,592.8976,367.17444
2024/05/11 23:59:05.000,n,619.22192,593.0968,367.25856
2024/05/11 23:59:10.193,n,619.27172,592.84728,367.13356
2024/05/11 23:59:15.000,n,618.92408,593.03008,367.0406
2024/05/11 23:59:20.000,n,619.00676,592.9638,367.0486
2024/05/11 23:59:25.000,n,619.27172,592.86372,367.14372
2024/05/11 23:59:30.000,n,618.92408,593.03008,367.0406
2024/05/11 23:59:35.000,n,619.38728,592.79796,367.17152
2024/05/11 23:59:40.110,n,619.23836,593.2462,367.3608
2024/05/11 23:59:45.000,n,619.1064,593.12968,367.2104
2024/05/11 23:59:50.000,n,618.97388,593.31244,367.24492
2024/05/11 23:59:55.000,n,618.97388,592.8144,366.9366
2024/05/12 00:00:00.001,n,618.62676,593.12968,366.92592
2024/05/12 00:00:05.000,n,618.87476,592.78108,366.85724
2024/05/12 00:00:10.000,n,619.073,592.83088,367.0056
2024/05/12 00:00:15.000,n,618.95744,592.79796,366.91672
2024/05/12 00:00:20.000,n,618.693,592.88068,366.81112
2024/05/12 00:00:25.001,n,618.56048,593.03008,366.825
