Var1,Var2,Var3
-0.725366894,-1.230831565,0.203125708
-0.742820861,-1.302145123,0.227328107
-0.750834111,-1.380927565,0.25267147
-0.769314635,-1.472817999,0.279022332
-0.779871207,-1.55868711,0.298478396
-0.790997446,-1.659228854,0.323073911
-0.808250879,-1.754732359,0.344592464
-0.822606852,-1.854655369,0.358036436
-0.842169171,-1.973011109,0.382321409
-0.851934523,-2.049969435,0.388557618
-0.859230177,-2.141317066,0.39639098
-0.873069272,-2.228015734,0.401942663
-0.874131022,-2.27761834,0.391316261
-0.873303783,-2.299078945,0.380797694
-0.862688512,-2.283706304,0.361743063
-0.858165758,-2.28406664,0.345352405
-0.843274629,-2.244940132,0.321154145
-0.837142381,-2.215764138,0.300372119
-0.827661155,-2.183583472,0.292837612
-0.814802631,-2.137374173,0.276481014
-0.804616455,-2.113685943,0.261391259
-0.792240727,-2.071620701,0.248973623
-0.78330213,-2.037218925,0.234406139
-0.773147738,-2.012431511,0.224013194
-0.756696783,-1.971417317,0.20588531
-0.747217276,-1.93575868,0.193779257
-0.733490102,-1.899007718,0.181154186
-0.720212853,-1.856805989,0.166299962
-0.704797709,-1.807777029,0.151822413
-0.690385483,-1.755022047,0.135576729
-0.671301106,-1.689623969,0.115371959
-0.648138222,-1.617879589,0.091745276
-0.623395497,-1.539545451,0.069918536
-0.593201061,-1.445029095,0.046235312
-0.565994767,-1.353141266,0.022309344
-0.53390407,-1.246748526,0.00094301
-0.508953635,-1.142550422,-0.018429879
-0.485408092,-1.039699882,-0.03724257
-0.465953178,-0.938726742,-0.052754051
-0.447133127,-0.848969046,-0.059283233
-0.433321191,-0.772063793,-0.064196842
-0.4192843,-0.709753896,-0.067651086
-0.411540326,-0.664321453,-0.067210795
-0.404792936,-0.629458011,-0.065026309
-0.400191896,-0.616916426,-0.055778447
-0.40243209,-0.61391134,-0.042850551
-0.409265776,-0.649681249,-0.018813519
-0.421021137,-0.712179078,0.00901756
-0.433958626,-0.778723001,0.034986394
-0.437549884,-0.837276549,0.05075635
-0.446483866,-0.910065188,0.070537474
-0.451005245,-0.951220575,0.083503487
-0.452709569,-0.988739847,0.090001073
-0.456759617,-1.015303791,0.090457325
-0.456787909,-1.021995518,0.084530703
-0.452611008,-1.012461434,0.075342995
-0.452228845,-1.001403943,0.067971296
-0.449013198,-0.981653555,0.060693879
-0.447499373,-0.95387792,0.050326462
-0.443480193,-0.923365432,0.043730965
-0.438672667,-0.88798443,0.037708042
-0.436448457,-0.866993188,0.033728521
-0.432741727,-0.845743826,0.032696176
-0.427688532,-0.821727324,0.034429724
-0.425248907,-0.796848138,0.032808109
-0.421017029,-0.776880709,0.028153519
-0.414922407,-0.736976521,0.022860429
-0.395879862,-0.767960097,0.051338841
-0.408469252,-0.682733062,0.029515776
-0.404995615,-0.670635247,0.028362611
-0.401629384,-0.620823816,0.020509272
-0.403851927,-0.596220445,0.015986787
-0.391601597,-0.536884617,0.007235626
-0.395886218,-0.510338937,0.011428244
-0.381265124,-0.449384608,-0.000616712
-0.378396434,-0.427011953,0.002886215
-0.36754836,-0.383101343,-0.002701667
-0.358523213,-0.349486136,0.000153728
