Var1,Var2,Var3
-2.148365096,-2.013834935,0.217033256
-2.048709125,-2.241171817,0.279454802
-2.00021697,-2.53013505,0.298499559
-1.843347543,-2.903211427,0.257493768
-1.784227585,-3.379864544,0.315309806
-1.793029798,-3.56660982,0.347280883
-1.76290416,-3.65230316,0.306411409
-1.822803999,-3.507603555,0.293656926
-1.892062287,-3.106753114,0.24254717
-1.89553319,-2.819152811,0.17897063
-1.943112187,-2.507178029,0.115608802
-1.860882823,-2.613628044,0.052045121
-1.622381021,-3.207106802,0.049999816
-1.615796401,-3.795058992,0.221727077
-1.472973052,-4.613357318,0.265949727
-1.558507344,-4.730210822,0.413644725
-1.766985512,-4.341998086,0.445211353
-1.89155156,-3.318556164,0.263924196
-2.154334039,-2.216855856,-0.018558966
-2.22112393,-1.421154771,-0.217236388
-2.186332492,-1.08802553,-0.314715517
-2.211248654,-0.787193235,-0.38258301
-2.18859376,-0.825046056,-0.364609703
-2.100940293,-0.921433881,-0.309119784
-2.102058371,-0.900750515,-0.297778218
-2.018495692,-1.099541259,-0.262234665
-2.04512,-0.947404428,-0.230371825
-2.123547714,-0.627443359,-0.217260184
-2.103392107,-0.452789103,-0.297627354
-2.012988032,-0.530099778,-0.301421042
-1.913290638,-0.890884615,-0.263046623
-1.738864681,-1.684500683,-0.172053556
-1.393069277,-3.059991855,-0.030587644
-1.401369978,-3.461848477,0.196500693
-1.387767897,-3.528952706,0.167994582
-1.395152841,-3.23519225,-0.016711572
-1.597533635,-2.484393896,-0.117303366
-1.903024244,-1.58711514,-0.308009438
-2.142298412,-0.631261606,-0.482953982
-2.232013028,-0.296527228,-0.529443073
-2.165668056,-0.319013936,-0.46494306
-2.026378175,-0.729375287,-0.327659365
-1.885992263,-1.024933916,-0.204792343
-1.798608616,-1.279558241,-0.229180019
-1.700385319,-1.621414997,-0.203916234
-1.780924825,-1.49201468,-0.160466032
-1.877975379,-1.013768924,-0.241273701
-1.908187703,-0.610947383,-0.324340057
-1.925597885,-0.221402065,-0.369083417
-1.930156502,-0.090127653,-0.374428896
-1.922865787,0.097541781,-0.335489905
-1.922587523,0.098003018,-0.229776091
-1.994941886,0.57053758,-0.136847466
-1.867193145,0.661504721,-0.277436943
-1.652027101,0.132305573,-0.247533214
-1.427772429,-0.484402267,-0.043974898
-1.245660053,-0.905775832,0.098523031
-1.182621979,-1.091543313,0.156441071
-1.149308718,-1.229366265,0.165555612
-1.141084675,-1.174375481,0.13445417
-1.168070735,-1.14950378,0.125678448
-1.148685712,-1.139347816,0.092480157
-1.119763993,-1.116821045,0.085348697
-1.116832657,-1.155236493,0.112619885
-1.051035017,-1.234458281,0.153281663
-0.995560947,-1.272585757,0.179445876
-0.944090496,-1.389993172,0.211110718
-0.876411732,-1.481705703,0.243348444
-0.826234817,-1.600757118,0.278222676
-0.760727548,-1.696155015,0.27778791
-0.712186897,-1.799983863,0.295315194
-0.667234325,-1.908644996,0.290944872
-0.611264632,-1.995819442,0.302401713
-0.559486977,-2.114108871,0.302140152
-0.512668014,-2.175796375,0.275855187
-0.476140461,-2.249414316,0.256585944
-0.437107222,-2.321061018,0.228284667
-0.413263688,-2.334810825,0.181679074
-0.404375078,-2.341499972,0.149701335
-0.401493608,-2.300962037,0.073230408
