Var1,Var2,Var3
0.081041906,-0.694793594,-0.398009661
-0.176631429,-0.47906325,-0.315384958
-0.297474682,-0.369265382,-0.311178236
-0.3863434,-0.294950506,-0.296860273
-0.350612165,-0.318428967,-0.294109118
-0.251616556,-0.363963822,-0.302626432
-0.208564859,-0.385677507,-0.282910319
-0.123584823,-0.446053067,-0.296154111
-0.105693319,-0.444423773,-0.266224133
-0.140880841,-0.399075412,-0.213924673
-0.164002935,-0.365454627,-0.177453765
-0.129640262,-0.382253375,-0.182095348
0.012481074,-0.498285558,-0.205511063
0.262300111,-0.689074315,-0.309549902
0.608330656,-0.990256741,-0.507903324
0.720665319,-1.115885074,-0.602834484
0.652980324,-1.093719124,-0.647007053
0.45669723,-0.974944066,-0.636236089
0.183130454,-0.752757482,-0.555289832
-0.07332337,-0.539773002,-0.431344023
-0.360175405,-0.305989205,-0.289334561
-0.4062008,-0.262553438,-0.244899159
-0.344267499,-0.283436913,-0.266111816
-0.205991379,-0.376149951,-0.324028374
-0.059247696,-0.472685241,-0.365111683
0.035345172,-0.549402334,-0.39422515
0.140214923,-0.62102271,-0.437221924
0.102430004,-0.587480478,-0.41448494
-0.044253918,-0.45894297,-0.338408351
-0.142956888,-0.353589409,-0.261577364
-0.237904667,-0.250991296,-0.181284126
-0.210332953,-0.233357754,-0.128154785
-0.175503645,-0.219806691,-0.080376572
-0.118113636,-0.248903967,-0.055554388
-0.138737213,-0.197886467,0.036952187
-0.146560363,-0.163302627,0.051376972
0.018152753,-0.283302954,-0.021612825
0.239763305,-0.450855405,-0.120325891
0.400698899,-0.569298254,-0.217757185
0.474043634,-0.628239005,-0.268643043
0.495575011,-0.647873677,-0.292119246
0.452448746,-0.614717286,-0.294746573
0.420531339,-0.593255046,-0.280489495
0.402010104,-0.575047681,-0.279421776
0.372882014,-0.549163606,-0.275484789
0.403172323,-0.563059156,-0.278637564
0.440895327,-0.595811041,-0.304336956
0.452630319,-0.59934961,-0.323578292
0.481292934,-0.619666922,-0.341960304
0.523933469,-0.648497705,-0.373952766
0.56500317,-0.679596783,-0.41145911
0.55955149,-0.672457474,-0.430736317
0.61525908,-0.711878856,-0.459108673
0.623361318,-0.723493292,-0.491143697
0.632774573,-0.73371563,-0.527460568
0.655378542,-0.76329982,-0.571535444
0.638603576,-0.750956056,-0.586465207
0.658977274,-0.766183981,-0.617431392
0.648547656,-0.757043131,-0.643292847
0.596386209,-0.723283113,-0.650512167
0.537648193,-0.684625293,-0.658961898
0.461863176,-0.624920546,-0.641733856
0.455121156,-0.62133831,-0.636140323
0.367289353,-0.551027068,-0.626834972
0.360809776,-0.549395863,-0.612574675
0.339260645,-0.53154914,-0.611789186
0.311493848,-0.508726474,-0.596090309
0.282764303,-0.491116068,-0.601050361
0.24175752,-0.462555131,-0.592062942
0.215875329,-0.444319537,-0.590645729
0.183607301,-0.422829258,-0.59206385
0.138782,-0.386091265,-0.581485804
0.12309333,-0.374236632,-0.584022084
0.085778278,-0.343274289,-0.577136408
0.065592391,-0.330430181,-0.571466089
0.029483064,-0.299708802,-0.556681696
0.002730147,-0.275659348,-0.538355632
-0.035777628,-0.241612252,-0.523201994
-0.053599062,-0.218583324,-0.495816366
-0.081782507,-0.18540244,-0.47309712
-0.104952365,-0.154653316,-0.444383149
-0.123485063,-0.128668232,-0.423755479
-0.151169945,-0.09367772,-0.391839368
-0.15241382,-0.083683751,-0.364940955
-0.158434931,-0.064895012,-0.324031126
-0.15449246,-0.05647226,-0.302384305
-0.141955734,-0.05561194,-0.27997292
-0.123963306,-0.060404233,-0.264542621
-0.111478751,-0.066209079,-0.252468838
-0.088876546,-0.083020563,-0.244608832
-0.085799684,-0.085238258,-0.24472668
-0.074761929,-0.096380123,-0.256161587
-0.064233947,-0.107148659,-0.273422398
-0.04096196,-0.134541186,-0.31277923
-0.027880454,-0.162454667,-0.363411273
-0.012625748,-0.185108681,-0.402341339
-0.038553537,-0.168290678,-0.428548959
-0.030392589,-0.182336985,-0.46689485
-0.017652144,-0.202493859,-0.490943881
-0.029921207,-0.192847608,-0.507213217
-0.029827259,-0.193981341,-0.523530495
-0.042917277,-0.190479738,-0.515390848
-0.055276264,-0.180751836,-0.51489781
-0.071288668,-0.166844684,-0.521894512
-0.07579465,-0.161799844,-0.513277495
-0.093056186,-0.145314788,-0.503156341
-0.101827048,-0.137723226,-0.501229951
-0.104249273,-0.131768367,-0.489904568
-0.108260937,-0.127177714,-0.489899168
-0.121220598,-0.116959658,-0.501082775
-0.116503096,-0.11541387,-0.493932212
-0.12688369,-0.105228721,-0.499042271
-0.143780226,-0.09046884,-0.502520215
-0.14743647,-0.081936838,-0.474000403
-0.124155323,-0.12428236,-0.494264954
-0.13886354,-0.08413285,-0.444200194
-0.118338417,-0.117160295,-0.503194487
-0.148578268,-0.074131346,-0.422698877
-0.115727816,-0.103888196,-0.468688115
-0.138814129,-0.075267978,-0.392862651
-0.134093766,-0.08202464,-0.448899103
-0.158958405,-0.05751322,-0.377016477
-0.161812045,-0.060774478,-0.413507182
-0.158697126,-0.056787626,-0.369455989
-0.168727122,-0.04787074,-0.363660665
-0.162279418,-0.058611989,-0.357473587
-0.192021426,-0.026776811,-0.33923212
-0.197563561,-0.013742256,-0.336313817
-0.191655416,-0.015479942,-0.311793052
-0.193724161,-0.006245727,-0.285596618
-0.191938179,-0.007947531,-0.265436483
-0.192172881,-0.012588692,-0.264713643
-0.188954818,-0.015971532,-0.253897334
-0.187257971,-0.012552117,-0.246760655
-0.185673615,-0.014924504,-0.246954398
-0.185730866,-0.01132751,-0.248911174
-0.184267782,-0.013287936,-0.250264291
-0.17263805,-0.03172034,-0.272851386
-0.169208565,-0.036978957,-0.284431582
-0.169103024,-0.037998481,-0.303791231
-0.179209599,-0.037238603,-0.316794646
-0.184360105,-0.035520818,-0.329477263
-0.189251682,-0.030877144,-0.336490421
-0.205720398,-0.017344355,-0.337230837
-0.214532064,-0.012586787,-0.33442021
-0.205832107,-0.025407647,-0.373334123
-0.192252539,-0.052865847,-0.389734292
-0.227795326,-0.027336491,-0.43103225
-0.235460897,-0.024820041,-0.446278067
-0.208490589,-0.042738354,-0.460239364
