Time,V(v),E.Y,E.Y.00,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.Y.09,E.Y.10,E.Y.11,E.Y.12,E.Y.13,E.Y.14,E.Y.15,E.Y.16,E.Y.17,E.Y.18,E.Y.19,E.Y.20,E.Y.21,E.Y.22,E.X,E.X.00,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,E.X.09,E.X.10,E.X.11,E.X.12,E.X.13,E.X.14,E.X.15,E.X.16,E.X.17,E.X.18,E.X.19,E.X.20,E.X.21,E.X.22,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,V(v).09,V(v).10,V(v).11,V(v).12,V(v).13,V(v).14,V(v).15,V(v).16,V(v).17,V(v).18,V(v).19,V(v).20,V(v).21,V(v).22,Vt(v),U0,U1
2024-05-10 00:20:00,86.282,-73.2025,-13.4409,-13.4409,-13.4409,-13.4409,-13.4409,-0.208264,-0.208264,-0.208264,-0.208264,-0.208264,-0.208264,-0.208264,-0.950992,-0.950992,-0.950992,-0.950992,-0.950992,-0.950992,-0.950992,0.775092,-0.208264,0.775092,0.775092,183.199,1.13858,1.13858,1.13858,1.13858,1.13858,15.6619,15.6619,15.6619,15.6619,15.6619,15.6619,15.6619,12.3006,12.3006,12.3006,12.3006,12.3006,12.3006,12.3006,-11.2977,15.6619,-11.2977,-11.2977,-1.05569,-3.26168,-2.42696,-1.39465,-1.65481,8.91969,6.09097,3.06672,3.0702,3.05515,3.07348,4.65255,5.97274,5.19177,2.18281,4.21745,3.79676,9.07674,9.98045,-45.3327,69.7852,-0.253726,-0.470413,72.372,3.23,17.14
2024-05-10 00:21:00,90.9872,-70.0617,-13.1445,-13.1445,-13.1445,-13.1445,-13.1445,-0.167195,-0.167195,-0.167195,-0.167195,-0.167195,-0.167195,-0.167195,-0.821334,-0.821334,-0.821334,-0.821334,-0.821334,-0.821334,-0.821334,0.915833,-0.167195,0.915833,0.915833,185.972,1.665,1.665,1.665,1.665,1.665,15.5567,15.5567,15.5567,15.5567,15.5567,15.5567,15.5567,11.9702,11.9702,11.9702,11.9702,11.9702,11.9702,11.9702,-10.1995,15.5567,-10.1995,-10.1995,-1.01815,-3.07979,-2.18341,-1.16814,-1.21151,8.87123,6.052,3.04808,3.05351,3.04353,3.05977,4.62528,5.82796,5.08344,2.14993,4.13483,3.69982,8.84768,9.75422,-40.4921,69.4097,-0.161029,-0.359547,76.0972,2.41,17.3
2024-05-10 00:22:00,90.8566,-68.58,-12.9727,-12.9727,-12.9727,-12.9727,-12.9727,-0.0933539,-0.0933539,-0.0933539,-0.0933539,-0.0933539,-0.0933539,-0.0933539,-0.844437,-0.844437,-0.844437,-0.844437,-0.844437,-0.844437,-0.844437,0.980426,-0.0933539,0.980426,0.980426,184.159,1.63632,1.63632,1.63632,1.63632,1.63632,15.3515,15.3515,15.3515,15.3515,15.3515,15.3515,15.3515,11.8523,11.8523,11.8523,11.8523,11.8523,11.8523,11.8523,-9.93342,15.3515,-9.93342,-9.93342,-1.00502,-3.04092,-2.15726,-1.15533,-1.20078,8.77486,5.97566,3.01141,3.02035,3.01944,3.03194,4.57143,5.76584,5.02403,2.12103,4.0849,3.66186,8.75608,9.64557,-39.2582,68.6622,-0.128971,-0.323496,76.0866,2.38,17.15
2024-05-10 00:23:00,83.89,-69.5984,-12.9198,-12.9198,-12.9198,-12.9198,-12.9198,-0.113534,-0.113534,-0.113534,-0.113534,-0.113534,-0.113534,-0.113534,-0.954131,-0.954131,-0.954131,-0.954131,-0.954131,-0.954131,-0.954131,0.862641,-0.113534,0.862641,0.862641,176.508,1.07694,1.07694,1.07694,1.07694,1.07694,15.016,15.016,15.016,15.016,15.016,15.016,15.016,11.8921,11.8921,11.8921,11.8921,11.8921,11.8921,11.8921,-10.7498,15.016,-10.7498,-10.7498,-1.01521,-3.13872,-2.33889,-1.34679,-1.60356,8.57671,5.844,2.94451,2.95214,2.94848,2.9618,4.46931,5.76916,5.00896,2.10172,4.06715,3.66898,8.77038,9.63504,-42.883,67.1097,-0.202023,-0.409878,70.48,3.12,16.53
2024-05-10 00:24:00,79.0446,-70.2591,-12.7715,-12.7715,-12.7715,-12.7715,-12.7715,-0.213181,-0.213181,-0.213181,-0.213181,-0.213181,-0.213181,-0.213181,-0.971103,-0.971103,-0.971103,-0.971103,-0.971103,-0.971103,-0.971103,0.700502,-0.213181,0.700502,0.700502,171.166,0.816473,0.816473,0.816473,0.816473,0.816473,14.7587,14.7587,14.7587,14.7587,14.7587,14.7587,14.7587,11.7791,11.7791,11.7791,11.7791,11.7791,11.7791,11.7791,-11.1466,14.7587,-11.1466,-11.1466,-1.00997,-3.15214,-2.39751,-1.41938,-1.76814,8.40039,5.73886,2.88901,2.89145,2.87516,2.89326,4.38254,5.71047,4.95363,2.07533,4.02087,3.63289,8.68343,9.5331,-44.8554,65.7208,-0.270553,-0.483481,66.4546,3.44,16.03
2024-05-10 00:25:00,81.615,-67.3879,-12.6099,-12.6099,-12.6099,-12.6099,-12.6099,-0.0367731,-0.0367731,-0.0367731,-0.0367731,-0.0367731,-0.0367731,-0.0367731,-0.935355,-0.935355,-0.935355,-0.935355,-0.935355,-0.935355,-0.935355,0.834351,-0.0367731,0.834351,0.834351,171.338,0.948995,0.948995,0.948995,0.948995,0.948995,14.5836,14.5836,14.5836,14.5836,14.5836,14.5836,14.5836,11.6156,11.6156,11.6156,11.6156,11.6156,11.6156,11.6156,-10.4617,14.5836,-10.4617,-10.4617,-0.993495,-3.08377,-2.31795,-1.35071,-1.6404,8.35095,5.67932,2.86335,2.87443,2.88006,2.88937,4.34798,5.63451,4.89149,2.05201,3.97159,3.58351,8.56598,9.40965,-41.7441,65.3499,-0.198237,-0.400452,68.725,3.17,16.06
2024-05-10 00:26:00,86.9068,-62.6811,-12.3796,-12.3796,-12.3796,-12.3796,-12.3796,0.306003,0.306003,0.306003,0.306003,0.306003,0.306003,0.306003,-0.942149,-0.942149,-0.942149,-0.942149,-0.942149,-0.942149,-0.942149,1.12124,0.306003,1.12124,1.12124,173.533,1.1009,1.1009,1.1009,1.1009,1.1009,14.4402,14.4402,14.4402,14.4402,14.4402,14.4402,14.4402,11.5808,11.5808,11.5808,11.5808,11.5808,11.5808,11.5808,-9.51971,14.4402,-9.51971,-9.51971,-0.970977,-2.99371,-2.21732,-1.26598,-1.48561,8.36764,5.64026,2.85212,2.88018,2.92855,2.92085,4.33951,5.61623,4.874,2.04351,3.95689,3.57234,8.53902,9.37768,-37.2584,65.5116,-0.0664084,-0.255265,73.4368,2.83,16.3
2024-05-10 00:27:00,85.0975,-62.0176,-12.2203,-12.2203,-12.2203,-12.2203,-12.2203,0.315686,0.315686,0.315686,0.315686,0.315686,0.315686,0.315686,-0.951532,-0.951532,-0.951532,-0.951532,-0.951532,-0.951532,-0.951532,1.07302,0.315686,1.07302,1.07302,171.058,1.08098,1.08098,1.08098,1.08098,1.08098,14.2455,14.2455,14.2455,14.2455,14.2455,14.2455,14.2455,11.4847,11.4847,11.4847,11.4847,11.4847,11.4847,11.4847,-9.56774,14.2455,-9.56774,-9.56774,-0.958634,-2.95634,-2.19077,-1.25174,-1.47074,8.25879,5.56488,2.81435,2.84271,2.89215,2.88388,4.28238,5.567,4.82838,2.02228,3.91896,3.54184,8.46567,9.29288,-37.5546,64.6606,-0.0837066,-0.272795,71.8675,2.8,16.03
2024-05-10 00:28:00,77.1352,-65.3706,-12.0979,-12.0979,-12.0979,-12.0979,-12.0979,-0.0787354,-0.0787354,-0.0787354,-0.0787354,-0.0787354,-0.0787354,-0.0787354,-0.936639,-0.936639,-0.936639,-0.936639,-0.936639,-0.936639,-0.936639,0.768405,-0.0787354,0.768405,0.768405,163.79,0.837844,0.837844,0.837844,0.837844,0.837844,13.9918,13.9918,13.9918,13.9918,13.9918,13.9918,13.9918,11.2096,11.2096,11.2096,11.2096,11.2096,11.2096,11.2096,-10.2671,13.9918,-10.2671,-10.2671,-0.955035,-2.97304,-2.24886,-1.32165,-1.62736,7.99952,5.44672,2.74501,2.75347,2.75344,2.76451,4.16718,5.43247,4.71037,1.97189,3.82277,3.45662,8.26178,9.06712,-41.0689,62.5959,-0.210426,-0.408205,64.9352,3.14,15.34
2024-05-10 00:29:00,73.4345,-66.1242,-11.9458,-11.9458,-11.9458,-11.9458,-11.9458,-0.248899,-0.248899,-0.248899,-0.248899,-0.248899,-0.248899,-0.248899,-0.903887,-0.903887,-0.903887,-0.903887,-0.903887,-0.903887,-0.903887,0.641079,-0.248899,0.641079,0.641079,159.832,0.762084,0.762084,0.762084,0.762084,0.762084,13.806,13.806,13.806,13.806,13.806,13.806,13.806,11.0062,11.0062,11.0062,11.0062,11.0062,11.0062,11.0062,-10.4901,13.806,-10.4901,-10.4901,-0.944716,-2.94867,-2.24307,-1.32818,-1.65501,7.84388,5.366,2.70009,2.6999,2.67847,2.69785,4.0947,5.33629,4.62963,1.94002,3.75806,3.39468,8.11414,8.90897,-42.2501,61.3624,-0.260339,-0.460483,61.7045,3.23,14.96
