Time,Z,dT
1958-02-10 16:15:40,44939.25187068271,15340.000000333614
1958-02-10 16:16:00,44939.37544507378,15360.000000335038
1958-02-10 16:16:20,44939.499019464856,15380.000000336462
1958-02-10 16:16:40,44939.62259385592,15400.000000337886
1958-02-10 16:17:00,44939.746168246995,15420.00000033931
1958-02-10 16:17:20,44939.96827486064,15440.000000324268
1958-02-10 16:17:40,44940.20268221524,15460.000000307171
1958-02-10 16:18:00,44940.43708956984,15480.000000290072
1958-02-10 16:18:20,44940.671496924435,15500.000000272974
1958-02-10 16:18:40,44940.90590427903,15520.000000255875
1958-02-10 16:19:00,44941.14031163363,15540.000000238777
1958-02-10 16:19:20,44941.37471898823,15560.00000022168
1958-02-10 16:19:40,44941.609126342824,15580.000000204582
1958-02-10 16:20:00,44941.84353369742,15600.000000187483
1958-02-10 16:20:20,44942.07794105202,15620.000000170385
1958-02-10 16:20:40,44942.31234840662,15640.000000153286
1958-02-10 16:21:00,44942.546755761214,15660.00000013619
1958-02-10 16:21:20,44942.78116311581,15680.000000119091
1958-02-10 16:21:40,44943.01557047041,15700.000000101993
1958-02-10 16:22:00,44943.249977825006,15720.000000084894
1958-02-10 16:22:20,44943.4843851796,15740.000000067796
1958-02-10 16:22:40,44943.7187925342,15760.000000050699
1958-02-10 16:23:00,44943.9531998888,15780.0000000336
1958-02-10 16:23:20,44944.187607243395,15800.000000016502
1958-02-10 16:23:40,44944.42201459799,15819.999999999403
1958-02-10 16:24:00,44944.65642195259,15839.999999982305
1958-02-10 16:24:20,44944.89082930719,15859.999999965206
1958-02-10 16:24:40,44945.12523666179,15879.99999994811
1958-02-10 16:25:00,44945.35964401639,15899.999999931011
1958-02-10 16:25:20,44945.59405137099,15919.999999913913
1958-02-10 16:25:40,44945.828458725584,15939.999999896814
1958-02-10 16:26:00,44946.06286608018,15959.999999879716
1958-02-10 16:26:20,44946.29727343478,15979.999999862619
1958-02-10 16:26:40,44946.531680789376,15999.99999984552
1958-02-10 16:27:00,44946.76608814397,16019.999999828422
1958-02-10 16:27:20,44947.00049549857,16039.999999811324
1958-02-10 16:27:40,44947.23490285317,16059.999999794225
1958-02-10 16:28:00,44947.469310207765,16079.999999777128
1958-02-10 16:28:20,44947.70371756236,16099.99999976003
1958-02-10 16:28:40,44947.93812491696,16119.999999742931
1958-02-10 16:29:00,44948.17253227156,16139.999999725833
1958-02-10 16:29:20,44948.370527886305,16159.999999722031
1958-02-10 16:29:40,44948.5059075352,16179.999999741096
1958-02-10 16:30:00,44948.64128718408,16199.999999760163
1958-02-10 16:30:20,44948.77666683297,16219.999999779227
1958-02-10 16:30:40,44948.91204648186,16239.999999798292
1958-02-10 16:31:00,44949.04742613075,16259.999999817357
1958-02-10 16:31:20,44949.182805779645,16279.999999836422
1958-02-10 16:31:40,44949.31818542853,16299.999999855487
1958-02-10 16:32:00,44949.45356507742,16319.999999874552
1958-02-10 16:32:20,44949.58894472631,16339.999999893616
1958-02-10 16:32:40,44949.7243243752,16359.999999912681
1958-02-10 16:33:00,44949.859704024086,16379.999999931746
1958-02-10 16:33:20,44949.99508367298,16399.99999995081
1958-02-10 16:33:40,44950.13046332187,16419.999999969878
1958-02-10 16:34:00,44950.26584297076,16439.99999998894
1958-02-10 16:34:20,44950.40122261964,16460.000000008007
1958-02-10 16:34:40,44950.536602268534,16480.00000002707
1958-02-10 16:35:00,44950.671981917425,16500.000000046137
1958-02-10 16:35:20,44950.807361566316,16520.0000000652
1958-02-10 16:35:40,44950.9427412152,16540.000000084267
1958-02-10 16:36:00,44951.07812086409,16560.000000103333
1958-02-10 16:36:20,44951.21350051298,16580.000000122396
1958-02-10 16:36:40,44951.34888016187,16600.000000141463
1958-02-10 16:37:00,44951.48425981076,16620.000000160526
1958-02-10 16:37:20,44951.61963945965,16640.000000179592
