"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/12 00:01:45.000,n,2443.9532,868.7016
2024/10/12 00:01:50.022,n,2443.5892,868.85696
2024/10/12 00:01:55.087,n,2444.0402,868.764
2024/10/12 00:02:00.000,n,2443.371,868.67056
2024/10/12 00:02:05.006,n,2444.0112,868.79448
2024/10/12 00:02:10.000,n,2443.0364,868.7016
2024/10/12 00:02:15.009,n,2443.7784,868.79448
2024/10/12 00:02:20.003,n,2443.4002,868.7016
2024/10/12 00:02:25.000,n,2443.6334,868.71728
2024/10/12 00:02:30.005,n,2443.2106,868.65488
2024/10/12 00:02:35.000,n,2443.9532,868.65488
2024/10/12 00:02:40.008,n,2443.6334,868.82592
2024/10/12 00:02:45.002,n,2443.6474,868.59296
2024/10/12 00:02:50.000,n,2443.6912,868.62344
2024/10/12 00:02:55.005,n,2443.822,868.81024
2024/10/12 00:03:00.000,n,2443.4584,868.68584
2024/10/12 00:03:05.008,n,2444.113,868.7016
2024/10/12 00:03:10.001,n,2443.0944,868.8412
2024/10/12 00:03:15.000,n,2444.113,868.73256
2024/10/12 00:03:20.004,n,2443.6474,868.85696
2024/10/12 00:03:25.000,n,2443.7054,868.71728
2024/10/12 00:03:30.007,n,2443.24,868.6392
2024/10/12 00:03:35.001,n,2443.138,868.68584
2024/10/12 00:03:40.000,n,2443.6474,868.6392
2024/10/12 00:03:45.004,n,2443.1088,868.764
2024/10/12 00:03:50.000,n,2443.1088,868.71728
2024/10/12 00:03:55.007,n,2443.8366,868.74832
2024/10/12 00:04:00.116,n,2443.473,868.59296
2024/10/12 00:04:05.000,n,2443.1962,868.60864
2024/10/12 00:04:10.055,n,2443.8366,868.67056
2024/10/12 00:04:15.000,n,2444.1712,868.60864
2024/10/12 00:04:20.006,n,2443.2544,868.5772
2024/10/12 00:04:25.000,n,2443.1526,868.67056
2024/10/12 00:04:30.010,n,2443.4002,868.65488
2024/10/12 00:04:35.003,n,2443.9382,868.68584
2024/10/12 00:04:40.000,n,2443.851,868.82592
2024/10/12 00:04:45.006,n,2443.3854,868.48432
2024/10/12 00:04:50.000,n,2442.803,868.90312
2024/10/12 00:04:55.009,n,2443.24,868.5148
2024/10/12 00:05:00.002,n,2443.822,868.73256
2024/10/12 00:05:05.000,n,2443.5458,868.68584
2024/10/12 00:05:10.005,n,2442.8908,868.81024
2024/10/12 00:05:15.015,n,2442.2646,868.62344
2024/10/12 00:05:20.008,n,2443.4436,868.764
2024/10/12 00:05:25.001,n,2443.6182,868.81024
2024/10/12 00:05:30.000,n,2442.9344,868.67056
2024/10/12 00:05:35.005,n,2442.949,868.67056
2024/10/12 00:05:40.000,n,2443.9824,868.68584
2024/10/12 00:05:45.008,n,2443.7784,868.68584
2024/10/12 00:05:50.001,n,2443.7928,868.62344
2024/10/12 00:05:55.000,n,2442.629,868.59296
2024/10/12 00:06:00.005,n,2443.1962,868.79448
2024/10/12 00:06:05.000,n,2443.5018,868.73256
2024/10/12 00:06:10.014,n,2443.8366,868.6392
2024/10/12 00:06:15.001,n,2443.24,868.65488
2024/10/12 00:06:20.060,n,2443.2106,868.68584
2024/10/12 00:06:25.004,n,2443.4584,868.59296
2024/10/12 00:06:30.000,n,2443.7054,868.68584
2024/10/12 00:06:35.007,n,2443.8076,868.65488
2024/10/12 00:06:40.000,n,2443.2254,868.74832
